l_s	l_l	R	theta	
	 0.49383	 0.26262	 0.02491	 -0.38900
	 0.49383	 0.34353	 0.02498	 -0.38980
	 0.46185	 0.46769	 0.02484	 -0.38189
	 0.49423	 0.46089	 0.02490	 -0.38900
	 0.49383	 0.33958	 0.02491	 -0.38900
	 0.49479	 0.46485	 0.02490	 -0.38913
	 0.49479	 0.46485	 0.02490	 -0.38913
	 0.49821	 0.46077	 0.02490	 -0.38978
	 0.49383	 0.36808	 0.02491	 -0.38901
	 0.49444	 0.45237	 0.02491	 -0.38911
	 0.49429	 0.45504	 0.02490	 -0.38904
	 0.49444	 0.42935	 0.02491	 -0.38911
	 0.49926	 0.46153	 0.02478	 -0.38843
	 0.49429	 0.46077	 0.02490	 -0.38898
	 0.44935	 0.45752	 0.02473	 -0.39347
	 0.49423	 0.46089	 0.02490	 -0.38900
	 0.49383	 0.34353	 0.02491	 -0.38900
	 0.49378	 0.33990	 0.02491	 -0.38899
	 0.49378	 0.30554	 0.02491	 -0.38899
	 0.49383	 0.33912	 0.02491	 -0.38900
	 0.49780	 0.46077	 0.02490	 -0.38970
	 0.49308	 0.43297	 0.02490	 -0.38870
	 0.48557	 0.45237	 0.02478	 -0.38588
	 0.43794	 0.34249	 0.02491	 -0.39309
	 0.49454	 0.34353	 0.02497	 -0.38984
	 0.49444	 0.45237	 0.02496	 -0.38975
	 0.49926	 0.45506	 0.02490	 -0.38995
	 0.49383	 0.34353	 0.02494	 -0.38943
	 0.49383	 0.34353	 0.02498	 -0.38980
	 0.44599	 0.45752	 0.02473	 -0.39274
	 0.49447	 0.46071	 0.02499	 -0.39015
	 0.48918	 0.46900	 0.02491	 -0.38814
	 0.49423	 0.46089	 0.02465	 -0.38601
	 0.49479	 0.46485	 0.02490	 -0.38913
	 0.44935	 0.42973	 0.02472	 -0.39344
	 0.49383	 0.34353	 0.02497	 -0.38973
	 0.49383	 0.34784	 0.02491	 -0.38904
	 0.48616	 0.39734	 0.02497	 -0.38822
	 0.49383	 0.36808	 0.02491	 -0.38901
	 0.49383	 0.33958	 0.02491	 -0.38900
	 0.49444	 0.45771	 0.02491	 -0.38911
	 0.44935	 0.45562	 0.02473	 -0.39347
	 0.49383	 0.34394	 0.02497	 -0.38971
	 0.49383	 0.34749	 0.02498	 -0.38980
	 0.49926	 0.45506	 0.02490	 -0.38995
	 0.49249	 0.34353	 0.02498	 -0.38963
	 0.49018	 0.33986	 0.02277	 -0.36210
	 0.49328	 0.46482	 0.02500	 -0.38997
	 0.49454	 0.44450	 0.02497	 -0.38984
	 0.48980	 0.35979	 0.02500	 -0.38930
	 0.45030	 0.45764	 0.02490	 -0.39577
	 0.49641	 0.49582	 0.02283	 -0.36380
	 0.49383	 0.34791	 0.02497	 -0.38971
	 0.49821	 0.46077	 0.02490	 -0.38978
	 0.49444	 0.45242	 0.02491	 -0.38911
	 0.44935	 0.45747	 0.02473	 -0.39347
	 0.44935	 0.45752	 0.02473	 -0.39347
	 0.44935	 0.42973	 0.02472	 -0.39344
	 0.46782	 0.45483	 0.02490	 -0.38374
	 0.49821	 0.46156	 0.02473	 -0.38773
	 0.44935	 0.45562	 0.02363	 -0.36532
	 0.49444	 0.42935	 0.02491	 -0.38911
	 0.44599	 0.33612	 0.02473	 -0.39274
	 0.49383	 0.46882	 0.02498	 -0.38980
	 0.49926	 0.45506	 0.02490	 -0.38995
	 0.49821	 0.38641	 0.02490	 -0.38978
	 0.44935	 0.42973	 0.02472	 -0.39344
	 0.49464	 0.47196	 0.02491	 -0.38915
	 0.44935	 0.45752	 0.02473	 -0.39347
	 0.44935	 0.45752	 0.02499	 -0.39663
	 0.49383	 0.34791	 0.02219	 -0.35550
	 0.49383	 0.34656	 0.02498	 -0.38980
	 0.47800	 0.45513	 0.02490	 -0.38585
	 0.49452	 0.45230	 0.02491	 -0.38913
	 0.49822	 0.46071	 0.02500	 -0.39089
	 0.49446	 0.46077	 0.02490	 -0.38907
	 0.49423	 0.33393	 0.02498	 -0.38993
	 0.44599	 0.46517	 0.02499	 -0.39578
	 0.48399	 0.45757	 0.02473	 -0.38495
	 0.44935	 0.45502	 0.02220	 -0.34855
	 0.49171	 0.34353	 0.02497	 -0.38930
	 0.49383	 0.34353	 0.02497	 -0.38973
	 0.49429	 0.46077	 0.02490	 -0.38904
	 0.49383	 0.34353	 0.02494	 -0.38943
	 0.49447	 0.45480	 0.02499	 -0.39015
	 0.49249	 0.34353	 0.02498	 -0.38962
	 0.49926	 0.45506	 0.02490	 -0.38995
	 0.44935	 0.45752	 0.02473	 -0.39347
	 0.49082	 0.45562	 0.02497	 -0.38918
	 0.45290	 0.45237	 0.02496	 -0.39704
	 0.49387	 0.45506	 0.02490	 -0.38893
	 0.49921	 0.35124	 0.02498	 -0.39083
	 0.44935	 0.45747	 0.02473	 -0.39347
	 0.46436	 0.45752	 0.02473	 -0.38107
	 0.44935	 0.45752	 0.02473	 -0.39347
	 0.41112	 0.42973	 0.02472	 -0.38463
	 0.49433	 0.46882	 0.02472	 -0.38686
	 0.44874	 0.45752	 0.02498	 -0.39631
	 0.41399	 0.45314	 0.02499	 -0.38835
	 0.44932	 0.47004	 0.02490	 -0.39556
	 0.49926	 0.45564	 0.02500	 -0.39107
	 0.49447	 0.46013	 0.02490	 -0.38902
	 0.38576	 0.33952	 0.02371	 -0.36717
	 0.44935	 0.46048	 0.02492	 -0.39573
	 0.43911	 0.45752	 0.02473	 -0.39121
	 0.49822	 0.42165	 0.02500	 -0.39089
	 0.49454	 0.34353	 0.02497	 -0.38984
	 0.49821	 0.46077	 0.02490	 -0.38978
	 0.44935	 0.42973	 0.02487	 -0.39517
	 0.44935	 0.45752	 0.02499	 -0.39663
	 0.49627	 0.45506	 0.02473	 -0.38731
	 0.45143	 0.42973	 0.02490	 -0.39593
	 0.49423	 0.33393	 0.02349	 -0.37173
	 0.44935	 0.45752	 0.02498	 -0.39649
	 0.44935	 0.44838	 0.02473	 -0.39347
	 0.44599	 0.46517	 0.02499	 -0.39578
	 0.45030	 0.45764	 0.02490	 -0.39577
	 0.44935	 0.42973	 0.02472	 -0.39344
