xs-	ys-	xs+	ys+	xl-	yl-	xl+	yl+	T_f	theta	power	
	 0.72763	 -0.68356	 0.81992	 0.58832	 0.42862	 -0.15344	 0.82200	 -0.46815	 412.03824	 -0.31853 	 29.31173
	 0.54054	 -0.53639	 0.88692	 0.52989	 0.41698	 0.29180	 0.79940	 -0.49383	 400.44324	 -0.31493 	 57.94355
	 0.73122	 -0.86542	 0.80685	 0.01036	 0.52399	 0.74816	 0.96556	 -0.64855	 367.17031	 -0.38443 	 19.01944
	 0.67493	 -0.68352	 0.95309	 0.59522	 0.42561	 -0.13649	 0.81874	 -0.45398	 409.07167	 -0.23878 	 51.03208
	 0.62143	 -0.64231	 0.95864	 0.71695	 0.61438	 -0.42654	 0.88296	 -0.45537	 409.17067	 -0.19930 	 51.73064
	 0.62989	 -0.62942	 0.78511	 0.77994	 0.61557	 0.27151	 0.91646	 -0.87942	 310.87481	 0.00000 	 16.68157
	 0.67510	 -0.21408	 0.86945	 0.01335	 0.41504	 0.75851	 0.81410	 -0.64756	 369.07111	 -0.05550 	 37.86979
	 0.54465	 -0.52685	 0.80632	 0.52989	 0.52544	 0.28858	 0.90907	 -0.49411	 400.80061	 -0.01341 	 31.62249
	 0.60560	 -0.08438	 0.78221	 0.64997	 0.42103	 -0.17913	 0.85007	 -0.45069	 409.07167	 0.00987 	 14.57176
	 0.73318	 -0.68355	 0.96046	 0.26852	 0.49500	 0.21673	 0.81985	 -0.45424	 322.90637	 0.00000 	 27.56726
	 0.67436	 -0.45266	 0.99148	 0.14134	 0.51486	 0.79095	 0.96230	 -0.64312	 369.49528	 -0.10073 	 30.92653
	 0.73530	 -0.80055	 0.80776	 0.01349	 0.66549	 0.01446	 0.80175	 -0.85757	 400.70170	 -0.29592 	 22.46953
	 0.56786	 -0.65904	 0.79994	 0.08989	 0.57050	 -0.00116	 0.94183	 -0.36342	 374.06535	 -0.01036 	 47.42558
	 0.67454	 -0.12155	 0.83613	 0.65612	 0.61623	 0.78986	 0.85280	 -0.30153	 338.92966	 0.00534 	 23.56859
	 0.70833	 -0.88566	 0.95143	 0.16011	 0.66826	 0.02880	 0.90710	 -0.19310	 315.72527	 0.00000 	 0.00000
	 0.67159	 -0.11875	 0.87221	 0.55557	 0.46046	 0.80721	 0.90956	 -0.44917	 410.86408	 -0.00071 	 13.62704
	 0.67283	 -0.62807	 0.78384	 0.78823	 0.61446	 -0.86677	 0.91315	 -0.47973	 311.43719	 -0.00000 	 12.44812
	 0.67148	 -0.71839	 0.77822	 0.58859	 0.61752	 0.74407	 0.85263	 -0.36862	 390.56828	 0.00918 	 10.12739
