Time,Extension,Load,Tensile strain (Extension),Temperature: Chamber 3119-600 1 1,Tensile stress
(s),(mm),(N),(mm/mm),(C),(MPa)
"31.50000","1.65970","11.23397","0.00518","120.16325","98.53570"
"31.60000","1.66148","11.27849","0.00520","120.16325","98.92615"
"31.70000","1.66345","11.30009","0.00522","120.16325","99.11559"
"31.80000","1.66495","11.35042","0.00523","120.16325","99.55706"
"31.90000","1.66642","11.35553","0.00525","120.16325","99.60186"
"32.00000","1.66800","11.40900","0.00526","120.16325","100.07089"
"32.10000","1.66983","11.42831","0.00528","120.16199","100.24030"
"32.20000","1.67174","11.45933","0.00530","120.16199","100.51236"
"32.30000","1.67321","11.48133","0.00532","120.16199","100.70531"
"32.40000","1.67471","11.52597","0.00533","120.16199","101.09686"
"32.50000","1.67633","11.52950","0.00535","120.16199","101.12783"
"32.60000","1.67818","11.58353","0.00536","120.16190","101.60177"
"32.70000","1.68009","11.65518","0.00538","120.16190","102.23023"
"32.80000","1.68159","11.66465","0.00540","120.16190","102.31326"
"32.90000","1.68308","11.69242","0.00541","120.16190","102.55684"
"33.00000","1.68479","11.73052","0.00543","120.16190","102.89098"
"33.10000","1.68665","11.77761","0.00545","120.16190","103.30405"
"33.20000","1.68847","11.79553","0.00547","120.16091","103.46123"
"33.30000","1.68990","11.82243","0.00548","120.16091","103.69714"
"33.40000","1.69146","11.85992","0.00550","120.16091","104.02598"
"33.50000","1.69318","11.88731","0.00551","120.16091","104.26629"
"33.60000","1.69500","11.92830","0.00553","120.16091","104.62579"
"33.70000","1.69672","11.96261","0.00555","120.15384","104.92669"
"33.80000","1.69818","11.97157","0.00556","120.15384","105.00535"
"33.90000","1.69984","12.03231","0.00558","120.15384","105.53806"
"34.00000","1.70160","12.07543","0.00560","120.15384","105.91634"
"34.10000","1.70343","12.09422","0.00561","120.15384","106.08108"
"34.20000","1.70504","12.11649","0.00563","120.15384","106.27643"
"34.30000","1.70654","12.13718","0.00565","120.14389","106.45793"
"34.40000","1.70818","12.18468","0.00566","120.14389","106.87454"
"34.50000","1.70996","12.22512","0.00568","120.14389","107.22929"
"34.60000","1.71171","12.23446","0.00570","120.14389","107.31122"
"34.70000","1.71331","12.27524","0.00571","120.14389","107.66883"
"34.80000","1.71477","12.34020","0.00573","120.14240","108.23867"
"34.90000","1.71647","12.33849","0.00574","120.14240","108.22363"
"35.00000","1.71825","12.39456","0.00576","120.14240","108.71550"
"35.10000","1.71997","12.43797","0.00578","120.14240","109.09618"
"35.20000","1.72154","12.47647","0.00579","120.14240","109.43394"
"35.30000","1.72309","12.47317","0.00581","120.14240","109.40497"
"35.40000","1.72478","12.50162","0.00583","120.14144","109.65453"
"35.50000","1.72661","12.54059","0.00584","120.14144","109.99631"
"35.60000","1.72833","12.63611","0.00586","120.14144","110.83418"
"35.70000","1.72984","12.63336","0.00588","120.14144","110.80999"
"35.80000","1.73139","12.65442","0.00589","120.14144","110.99471"
"35.90000","1.73317","12.69211","0.00591","120.14144","111.32533"
"36.00000","1.73504","12.78808","0.00593","120.13938","112.16708"
"36.10000","1.73666","12.76533","0.00594","120.13938","111.96755"
"36.20000","1.73813","12.79643","0.00596","120.13938","112.24033"
"36.30000","1.73977","12.80958","0.00597","120.13938","112.35568"
"36.40000","1.74156","12.88563","0.00599","120.13938","113.02271"
"36.50000","1.74340","12.93923","0.00601","120.13695","113.49287"
"36.60000","1.74500","12.93854","0.00603","120.13695","113.48685"
"36.70000","1.74645","12.98982","0.00604","120.13695","113.93659"
"36.80000","1.74810","12.99824","0.00606","120.13695","114.01048"
"36.90000","1.74993","13.06032","0.00607","120.13695","114.55495"
"37.00000","1.75182","13.10476","0.00609","120.13695","114.94478"
"37.10000","1.75329","13.11207","0.00611","120.13582","115.00890"
"37.20000","1.75471","13.14033","0.00612","120.13582","115.25677"
"37.30000","1.75641","13.19081","0.00614","120.13582","115.69957"
"37.40000","1.75825","13.22902","0.00616","120.13582","116.03474"
"37.50000","1.76008","13.25862","0.00617","120.13582","116.29430"
"37.60000","1.76156","13.28667","0.00619","120.13443","116.54033"
"37.70000","1.76302","13.31964","0.00620","120.13443","116.82955"
"37.80000","1.76471","13.32447","0.00622","120.13443","116.87189"
"37.90000","1.76654","13.37208","0.00624","120.13443","117.28954"
"38.00000","1.76841","13.40323","0.00626","120.13443","117.56269"
"38.10000","1.76983","13.43685","0.00627","120.13443","117.85759"
