Time,Extension,Load,Tensile strain (Extension),Tensile stress
(s),(mm),(N),(mm/mm),(MPa)
"28.80000","1.29900","9.79043","0.00225","85.87406"
"28.90000","1.30145","9.83267","0.00226","86.24458"
"29.00000","1.30370","9.86652","0.00227","86.54142"
"29.10000","1.30652","9.89537","0.00228","86.79449"
"29.20000","1.30919","9.93254","0.00229","87.12057"
"29.30000","1.31124","9.95997","0.00229","87.36113"
"29.40000","1.31391","9.99936","0.00230","87.70663"
"29.50000","1.31673","10.03418","0.00231","88.01200"
"29.60000","1.31878","10.06114","0.00232","88.24851"
"29.70000","1.32132","10.09815","0.00232","88.57317"
"29.80000","1.32428","10.13502","0.00233","88.89654"
"29.90000","1.32630","10.16051","0.00234","89.12008"
"30.00000","1.32868","10.19691","0.00235","89.43941"
"30.10000","1.33166","10.23584","0.00236","89.78083"
"30.20000","1.33390","10.26609","0.00236","90.04613"
"30.30000","1.33605","10.29349","0.00237","90.28651"
"30.40000","1.33895","10.33472","0.00238","90.64816"
"30.50000","1.34152","10.36937","0.00239","90.95206"
"30.60000","1.34355","10.39114","0.00239","91.14301"
"30.70000","1.34630","10.43202","0.00240","91.50162"
"30.80000","1.34917","10.46886","0.00241","91.82471"
"30.90000","1.35115","10.49535","0.00242","92.05705"
"31.00000","1.35376","10.53055","0.00243","92.36584"
"31.10000","1.35690","10.57156","0.00244","92.72548"
"31.20000","1.35884","10.59977","0.00244","92.97295"
"31.30000","1.36115","10.63127","0.00245","93.24925"
"31.40000","1.36432","10.66896","0.00246","93.57984"
"31.50000","1.36654","10.70512","0.00247","93.89704"
"31.60000","1.36863","10.72843","0.00247","94.10144"
"31.70000","1.37169","10.76810","0.00248","94.44939"
"31.80000","1.37423","10.80509","0.00249","94.77390"
"31.90000","1.37616","10.82911","0.00250","94.98454"
"32.00000","1.37894","10.86638","0.00250","95.31144"
"32.10000","1.38182","10.90415","0.00251","95.64272"
"32.20000","1.38373","10.93080","0.00252","95.87645"
"32.30000","1.38615","10.96416","0.00253","96.16909"
"32.40000","1.38918","11.00439","0.00254","96.52196"
"32.50000","1.39136","11.03097","0.00254","96.75512"
"32.60000","1.39360","11.06441","0.00255","97.04845"
"32.70000","1.39661","11.10794","0.00256","97.43023"
"32.80000","1.39904","11.13967","0.00257","97.70850"
"32.90000","1.40113","11.16702","0.00257","97.94846"
"33.00000","1.40401","11.20234","0.00258","98.25826"
"33.10000","1.40668","11.24384","0.00259","98.62224"
"33.20000","1.40870","11.26377","0.00260","98.79707"
"33.30000","1.41141","11.30579","0.00261","99.16564"
"33.40000","1.41421","11.33788","0.00261","99.44711"
"33.50000","1.41626","11.36904","0.00262","99.72038"
"33.60000","1.41884","11.39901","0.00263","99.98327"
"33.70000","1.42162","11.43901","0.00264","100.33409"
"33.80000","1.42383","11.46601","0.00265","100.57095"
"33.90000","1.42626","11.50201","0.00265","100.88669"
"34.00000","1.42905","11.53713","0.00266","101.19471"
"34.10000","1.43137","11.56553","0.00267","101.44383"
"34.20000","1.43364","11.60106","0.00268","101.75545"
"34.30000","1.43642","11.63562","0.00268","102.05867"
"34.40000","1.43888","11.66972","0.00269","102.35770"
"34.50000","1.44118","11.69512","0.00270","102.58055"
"34.60000","1.44396","11.73801","0.00271","102.95672"
"34.70000","1.44648","11.77231","0.00272","103.25758"
"34.80000","1.44869","11.80234","0.00272","103.52098"
"34.90000","1.45145","11.84117","0.00273","103.86153"
"35.00000","1.45414","11.87273","0.00274","104.13838"
"35.10000","1.45625","11.90635","0.00275","104.43323"
"35.20000","1.45888","11.94205","0.00275","104.74635"
"35.30000","1.46177","11.97476","0.00276","105.03326"
"35.40000","1.46381","12.00462","0.00277","105.29520"
"35.50000","1.46635","12.03884","0.00278","105.59535"
"35.60000","1.46934","12.08213","0.00279","105.97507"
"35.70000","1.47139","12.10850","0.00279","106.20634"
"35.80000","1.47375","12.13934","0.00280","106.47687"
"35.90000","1.47675","12.17790","0.00281","106.81506"
"36.00000","1.47902","12.20891","0.00282","107.08707"
"36.10000","1.48110","12.24072","0.00282","107.36611"
"36.20000","1.48399","12.27511","0.00283","107.66776"
"36.30000","1.48665","12.31533","0.00284","108.02053"
"36.40000","1.48858","12.34110","0.00285","108.24659"
"36.50000","1.49130","12.37398","0.00286","108.53494"
"36.60000","1.49430","12.41486","0.00287","108.89355"
"36.70000","1.49622","12.44143","0.00287","109.12659"
"36.80000","1.49868","12.47678","0.00288","109.43664"
"36.90000","1.50184","12.51809","0.00289","109.79899"
"37.00000","1.50390","12.55023","0.00290","110.08088"
"37.10000","1.50610","12.57883","0.00290","110.33176"
"37.20000","1.50919","12.61551","0.00291","110.65345"
"37.30000","1.51160","12.64857","0.00292","110.94344"
"37.40000","1.51357","12.67344","0.00293","111.16156"
"37.50000","1.51656","12.71400","0.00294","111.51735"
"37.60000","1.51922","12.74962","0.00294","111.82980"
"37.70000","1.52114","12.78094","0.00295","112.10448"
"37.80000","1.52374","12.81376","0.00296","112.39237"
"37.90000","1.52672","12.84715","0.00297","112.68519"
"38.00000","1.52876","12.87403","0.00297","112.92101"
"38.10000","1.53108","12.90841","0.00298","113.22255"
"38.20000","1.53412","12.94433","0.00299","113.53761"
"38.30000","1.53637","12.97609","0.00300","113.81615"
"38.40000","1.53863","13.00437","0.00300","114.06427"
"38.50000","1.54152","13.04622","0.00301","114.43134"
"38.60000","1.54399","13.07568","0.00302","114.68973"
"38.70000","1.54619","13.10369","0.00303","114.93540"
"38.80000","1.54901","13.13967","0.00304","115.25101"
