Plot 1 FLIR A320(30 Hz)EIP - 48200894

				Image.Max.
Emissivity				0.949999988079071
Distance				1
Reflected temperature				19.999993896484398
Location X				
Location Y				
Size X				
Size Y				
Surface (pixels)				76800

Date	Time	Milliseconds	Relative time	Image.Max.
15/07/2016	20:15:15	273	70,372	29,5442848205566
15/07/2016	20:15:15	527	70,626	29,5491809844971
15/07/2016	20:15:15	699	70,798	29,5148983001709
15/07/2016	20:15:16	046	71,145	29,6519641876221
15/07/2016	20:15:16	544	71,643	29,578556060791
15/07/2016	20:15:16	985	72,084	29,6568565368652
15/07/2016	20:15:17	313	72,412	29,7302131652832
15/07/2016	20:15:17	462	72,561	29,710657119751
15/07/2016	20:15:17	642	72,741	29,6910953521729
15/07/2016	20:15:18	054	73,153	29,6715316772461
15/07/2016	20:15:18	267	73,366	29,6715316772461
15/07/2016	20:15:18	418	73,517	29,7253246307373
15/07/2016	20:15:18	920	74,019	29,6275005340576
15/07/2016	20:15:19	310	74,409	29,6177139282227
15/07/2016	20:15:19	477	74,576	29,6862049102783
15/07/2016	20:15:19	931	75,03	29,51979637146
15/07/2016	20:15:20	052	75,151	29,5834522247314
15/07/2016	20:15:20	431	75,53	29,5883464813232
15/07/2016	20:15:20	683	75,782	29,5638694763184
15/07/2016	20:15:21	060	76,159	29,5883464813232
15/07/2016	20:15:21	334	76,433	29,5589733123779
15/07/2016	20:15:21	715	76,814	29,5638694763184
15/07/2016	20:15:21	868	76,967	29,6372871398926
15/07/2016	20:15:22	060	77,159	29,6715316772461
15/07/2016	20:15:22	613	77,712	29,5932426452637
15/07/2016	20:15:22	770	77,869	29,6177139282227
15/07/2016	20:15:22	905	78,004	29,6275005340576
15/07/2016	20:15:23	207	78,306	29,6079254150391
15/07/2016	20:15:23	453	78,552	29,5736618041992
15/07/2016	20:15:23	639	78,738	29,5687656402588
15/07/2016	20:15:23	830	78,929	29,5344905853271
15/07/2016	20:15:24	177	79,276	29,5442848205566
15/07/2016	20:15:24	391	79,49	29,5295925140381
15/07/2016	20:15:24	959	80,058	29,5834522247314
15/07/2016	20:15:25	163	80,262	29,4561061859131
15/07/2016	20:15:25	548	80,647	29,5540771484375
15/07/2016	20:15:25	705	80,804	29,4414024353027
15/07/2016	20:15:26	098	81,197	29,4119911193848
15/07/2016	20:15:26	403	81,502	29,3923797607422
15/07/2016	20:15:26	748	81,847	29,4119911193848
15/07/2016	20:15:26	972	82,071	29,3825721740723
15/07/2016	20:15:27	095	82,194	29,3433361053467
15/07/2016	20:15:27	507	82,606	29,3678607940674
15/07/2016	20:15:27	900	82,999	29,3776683807373
15/07/2016	20:15:28	140	83,239	29,3776683807373
15/07/2016	20:15:28	209	83,308	29,4168949127197
15/07/2016	20:15:28	579	83,678	29,3482418060303
15/07/2016	20:15:28	712	83,811	29,3678607940674
15/07/2016	20:15:29	185	84,284	29,3629550933838
15/07/2016	20:15:29	332	84,431	29,3433361053467
15/07/2016	20:15:29	524	84,623	29,2942695617676
15/07/2016	20:15:29	994	85,093	29,3580513000488
15/07/2016	20:15:30	247	85,346	29,4119911193848
15/07/2016	20:15:30	321	85,42	29,3188056945801
15/07/2016	20:15:30	666	85,765	29,3972835540771
15/07/2016	20:15:30	813	85,912	29,3678607940674
15/07/2016	20:15:31	277	86,376	29,3923797607422
15/07/2016	20:15:31	417	86,516	29,3580513000488
15/07/2016	20:15:31	784	86,883	29,3188056945801
15/07/2016	20:15:31	905	87,004	29,304084777832
15/07/2016	20:15:32	099	87,198	29,3188056945801
15/07/2016	20:15:32	518	87,617	29,4119911193848
15/07/2016	20:15:32	712	87,811	29,3629550933838
