Plot 1 FLIR A320(30 Hz)EIP - 48200894

				Image.Max.
Emissivity				0.949999988079071
Distance				1
Reflected temperature				19.999993896484398
Location X				
Location Y				
Size X				
Size Y				
Surface (pixels)				76800

Date	Time	Milliseconds	Relative time	Image.Max.
18/07/2016	17:28:31	995	58,553	26,7532730102539
18/07/2016	17:28:32	517	59,075	26,718132019043
18/07/2016	17:28:32	631	59,189	26,7382144927979
18/07/2016	17:28:32	771	59,329	26,6679096221924
18/07/2016	17:28:33	129	59,687	26,7331924438477
18/07/2016	17:28:33	436	59,994	26,718132019043
18/07/2016	17:28:33	537	60,095	26,7432327270508
18/07/2016	17:28:33	760	60,318	26,7231521606445
18/07/2016	17:28:34	094	60,652	26,718132019043
18/07/2016	17:28:34	256	60,814	26,793420791626
18/07/2016	17:28:34	623	61,181	26,7733478546143
18/07/2016	17:28:34	788	61,346	26,7833843231201
18/07/2016	17:28:34	935	61,493	26,7833843231201
18/07/2016	17:28:35	586	62,144	26,7482528686523
18/07/2016	17:28:35	924	62,482	26,7783679962158
18/07/2016	17:28:36	089	62,647	26,8134899139404
18/07/2016	17:28:36	430	62,988	26,7733478546143
18/07/2016	17:28:36	566	63,124	26,8084735870361
18/07/2016	17:28:36	755	63,313	26,8034553527832
18/07/2016	17:28:37	124	63,682	26,7733478546143
18/07/2016	17:28:37	443	64,001	26,8385696411133
18/07/2016	17:28:37	727	64,285	26,8536167144775
18/07/2016	17:28:37	887	64,445	26,823522567749
18/07/2016	17:28:38	235	64,793	26,8736743927002
18/07/2016	17:28:38	333	64,891	26,788402557373
18/07/2016	17:28:38	692	65,25	26,8285388946533
18/07/2016	17:28:38	820	65,378	26,9538688659668
18/07/2016	17:28:39	220	65,778	26,823522567749
18/07/2016	17:28:39	346	65,904	26,7733478546143
18/07/2016	17:28:39	522	66,08	26,7733478546143
18/07/2016	17:28:39	740	66,298	26,8034553527832
18/07/2016	17:28:39	897	66,455	26,7683296203613
18/07/2016	17:28:40	345	66,903	26,7080898284912
18/07/2016	17:28:40	571	67,129	26,7382144927979
18/07/2016	17:28:40	751	67,309	26,7733478546143
18/07/2016	17:28:41	119	67,677	26,7582912445068
18/07/2016	17:28:41	182	67,74	26,7131099700928
18/07/2016	17:28:41	417	67,975	26,7733478546143
18/07/2016	17:28:41	526	68,084	26,718132019043
18/07/2016	17:28:42	222	68,78	26,7783679962158
18/07/2016	17:28:42	358	68,916	26,8185062408447
18/07/2016	17:28:42	541	69,099	26,7633113861084
18/07/2016	17:28:42	843	69,401	26,823522567749
18/07/2016	17:28:43	256	69,814	26,7281723022461
18/07/2016	17:28:43	334	69,892	26,7331924438477
18/07/2016	17:28:43	543	70,101	26,7382144927979
18/07/2016	17:28:43	736	70,294	26,793420791626
18/07/2016	17:28:44	154	70,712	26,7633113861084
18/07/2016	17:28:44	541	71,099	26,7733478546143
18/07/2016	17:28:44	689	71,247	26,7984390258789
18/07/2016	17:28:44	841	71,399	26,8084735870361
18/07/2016	17:28:45	075	71,633	26,8736743927002
18/07/2016	17:28:45	191	71,749	26,7783679962158
18/07/2016	17:28:45	641	72,199	26,8134899139404
18/07/2016	17:28:45	911	72,469	26,8335552215576
18/07/2016	17:28:46	187	72,745	26,8335552215576
18/07/2016	17:28:46	254	72,812	26,8887138366699
18/07/2016	17:28:46	505	73,063	26,8435859680176
18/07/2016	17:28:46	628	73,186	26,8034553527832
18/07/2016	17:28:46	899	73,457	26,8536167144775
18/07/2016	17:28:47	186	73,744	26,9238033294678
18/07/2016	17:28:47	306	73,864	26,9388370513916
18/07/2016	17:28:47	664	74,222	26,9388370513916
18/07/2016	17:28:48	021	74,579	26,94384765625
18/07/2016	17:28:48	156	74,714	26,94384765625
18/07/2016	17:28:48	315	74,873	26,9037532806396
18/07/2016	17:28:48	661	75,219	26,9137783050537
18/07/2016	17:28:48	896	75,454	26,9588794708252
18/07/2016	17:28:49	317	75,875	26,8435859680176
18/07/2016	17:28:49	405	75,963	26,8837013244629
18/07/2016	17:28:49	625	76,183	26,8636455535889
18/07/2016	17:28:49	977	76,535	26,8786869049072
18/07/2016	17:28:50	122	76,68	26,8285388946533
18/07/2016	17:28:50	471	77,029	26,8586311340332
18/07/2016	17:28:50	640	77,198	26,8837013244629
18/07/2016	17:28:50	825	77,383	26,9288139343262
18/07/2016	17:28:51	140	77,698	26,8586311340332
18/07/2016	17:28:51	302	77,86	26,8837013244629
18/07/2016	17:28:51	661	78,219	26,9137783050537
18/07/2016	17:28:51	785	78,343	26,9037532806396
18/07/2016	17:28:52	177	78,735	26,8786869049072
18/07/2016	17:28:52	493	79,051	26,8586311340332
18/07/2016	17:28:52	704	79,262	26,8385696411133
18/07/2016	17:28:52	869	79,427	26,8536167144775
18/07/2016	17:28:53	207	79,765	26,8987407684326
18/07/2016	17:28:53	528	80,086	26,8686599731445
18/07/2016	17:28:53	652	80,21	26,8686599731445
18/07/2016	17:28:53	964	80,522	26,8486003875732
18/07/2016	17:28:54	071	80,629	26,8786869049072
18/07/2016	17:28:54	345	80,903	26,9238033294678
18/07/2016	17:28:54	707	81,265	26,8285388946533
18/07/2016	17:28:54	930	81,488	26,8285388946533
18/07/2016	17:28:55	176	81,734	26,8636455535889
18/07/2016	17:28:55	353	81,911	26,8285388946533
18/07/2016	17:28:55	771	82,329	26,8636455535889
18/07/2016	17:28:56	025	82,583	26,8887138366699
18/07/2016	17:28:56	153	82,711	26,8385696411133
18/07/2016	17:28:56	279	82,837	26,8686599731445
18/07/2016	17:28:56	726	83,284	26,8586311340332
18/07/2016	17:28:56	853	83,411	26,793420791626
18/07/2016	17:28:57	258	83,816	26,7683296203613
18/07/2016	17:28:57	313	83,871	26,7733478546143
18/07/2016	17:28:57	891	84,449	26,7131099700928
18/07/2016	17:28:58	098	84,656	26,8887138366699
18/07/2016	17:28:58	422	84,98	26,788402557373
18/07/2016	17:28:58	957	85,515	26,788402557373
18/07/2016	17:28:59	203	85,761	26,8185062408447
18/07/2016	17:28:59	491	86,049	26,823522567749
18/07/2016	17:28:59	658	86,216	26,8586311340332
18/07/2016	17:28:59	985	86,543	26,823522567749
18/07/2016	17:29:00	102	86,66	26,8084735870361
18/07/2016	17:29:00	824	87,382	26,823522567749
18/07/2016	17:29:01	032	87,59	26,823522567749
18/07/2016	17:29:01	189	87,747	26,8736743927002
18/07/2016	17:29:01	588	88,146	26,8736743927002
18/07/2016	17:29:01	863	88,421	26,8837013244629
18/07/2016	17:29:02	142	88,7	26,8887138366699
18/07/2016	17:29:02	320	88,878	26,8887138366699
18/07/2016	17:29:02	626	89,184	26,8686599731445
18/07/2016	17:29:02	799	89,357	26,9789180755615
18/07/2016	17:29:02	970	89,528	26,8987407684326
18/07/2016	17:29:03	355	89,913	26,8586311340332
18/07/2016	17:29:03	608	90,166	26,9939441680908
18/07/2016	17:29:03	789	90,347	26,8435859680176
18/07/2016	17:29:04	014	90,572	26,793420791626
18/07/2016	17:29:04	153	90,711	26,8134899139404
18/07/2016	17:29:04	593	91,151	26,788402557373
18/07/2016	17:29:05	030	91,588	27,0640430450439
18/07/2016	17:29:05	419	91,977	26,9288139343262
18/07/2016	17:29:05	486	92,044	26,9989528656006
18/07/2016	17:29:05	981	92,539	26,9588794708252
18/07/2016	17:29:06	345	92,903	26,9688987731934
18/07/2016	17:29:06	531	93,089	26,9638900756836
18/07/2016	17:29:06	839	93,397	26,94384765625
18/07/2016	17:29:07	175	93,733	26,9087657928467
18/07/2016	17:29:07	529	94,087	26,8435859680176
18/07/2016	17:29:07	791	94,349	26,8736743927002
18/07/2016	17:29:07	956	94,514	26,8586311340332
18/07/2016	17:29:08	347	94,905	26,8586311340332
18/07/2016	17:29:08	433	94,991	26,8887138366699
18/07/2016	17:29:08	630	95,188	26,9187908172607
