xs-	ys-	xs+	ys+	xl-	yl-	xl+	yl+	theta	k	f	
	 0.60030	 -0.70690	 0.90256	 0.77937	 0.56008	 -0.66058	 0.88467	 -0.39179	 -0.12395 	 439.25484 	 0.90763
	 0.54187	 -0.58494	 0.94660	 0.33583	 0.66188	 -0.68971	 0.90029	 -0.88851	 -0.12374 	 409.23181 	 0.89606
	 0.53032	 -0.86393	 0.92581	 0.59755	 0.53302	 -0.38559	 0.89126	 -0.18202	 -0.10427 	 701.92011 	 1.01976
	 0.69789	 -0.73558	 0.92914	 0.71370	 0.69392	 0.85275	 0.87538	 -0.37670	 -0.00756 	 576.34780 	 1.02020
	 0.51949	 -0.76650	 0.92489	 0.45945	 0.62131	 -0.50759	 0.92583	 -0.41906	 -0.12428 	 530.41319 	 0.94290
	 0.67013	 -0.77279	 0.89213	 0.65369	 0.37855	 -0.28541	 0.86540	 -0.81677	 -0.17409 	 539.80070 	 0.92118
	 0.55667	 -0.84472	 0.94913	 0.41172	 0.48304	 0.52462	 0.82383	 -0.87976	 -0.12295 	 743.68120 	 1.02648
	 0.54244	 -0.62180	 0.86511	 0.00560	 0.59320	 -0.74786	 0.91222	 -0.52350	 -0.12568 	 398.89559 	 0.89106
	 0.55634	 -0.79653	 0.92649	 0.30959	 0.43670	 -0.11589	 0.80880	 -0.74880	 -0.13520 	 532.06243 	 0.93798
	 0.67013	 -0.87368	 0.89054	 0.80834	 0.37855	 -0.28764	 0.86492	 -0.81677	 -0.17636 	 558.99583 	 0.92748
	 0.57017	 -0.77117	 0.94916	 0.64026	 0.41794	 0.43676	 0.88602	 -0.15228	 0.00953 	 715.80702 	 1.08311
	 0.40922	 -0.62181	 0.94560	 0.67417	 0.67764	 -0.73156	 0.90945	 -0.23563	 0.00000 	 9999.00000 	 4.68699
	 0.55165	 -0.75538	 0.92557	 0.30699	 0.52832	 -0.71988	 0.85095	 -0.53917	 -0.15575 	 485.19839 	 0.90929
	 0.60013	 -0.68483	 0.90142	 0.34573	 0.55512	 -0.18687	 0.87106	 -0.87598	 -0.16176 	 547.77082 	 0.93056
	 0.54244	 -0.62180	 0.86228	 0.00560	 0.62407	 -0.74786	 0.90454	 -0.52350	 -0.12851 	 392.85531 	 0.88727
	 0.53838	 -0.86393	 0.93445	 0.61013	 0.52797	 -0.38559	 0.89935	 -0.82620	 -0.14450 	 567.74728 	 0.94711
	 0.50469	 -0.84531	 0.92025	 0.39673	 0.50413	 0.52462	 0.84947	 -0.87976	 -0.06537 	 988.63107 	 1.15102
	 0.57111	 -0.83549	 0.91220	 0.34124	 0.44654	 -0.11589	 0.88173	 -0.41404	 -0.07240 	 857.36573 	 1.09642
	 0.45795	 -0.64145	 0.92607	 0.30858	 0.55000	 -0.66058	 0.81185	 -0.79543	 0.00194 	 382.04856 	 0.94950
	 0.53032	 -0.85382	 0.94621	 0.59514	 0.52797	 -0.38559	 0.89935	 -0.89101	 -0.12404 	 569.10515 	 0.95806
	 0.55780	 -0.58391	 0.93116	 0.33583	 0.67764	 -0.71962	 0.91130	 -0.23563	 -0.12175 	 421.32583 	 0.90178
	 0.54467	 -0.59852	 0.94560	 0.32414	 0.67764	 -0.71962	 0.91130	 -0.23563	 -0.09594 	 436.83658 	 0.92095
	 0.53032	 -0.85382	 0.92581	 0.59514	 0.52797	 -0.38559	 0.89935	 -0.86653	 -0.15414 	 540.77838 	 0.93172
	 0.60013	 -0.71284	 0.87104	 0.36976	 0.61632	 -0.18687	 0.87106	 -0.88873	 -0.15855 	 524.01770 	 0.92296
	 0.53556	 -0.62180	 0.90785	 0.00560	 0.56287	 -0.68786	 0.91222	 -0.55864	 -0.12886 	 448.21115 	 0.90861
	 0.49838	 -0.89098	 0.92682	 0.65369	 0.38165	 -0.28764	 0.86278	 -0.81535	 -0.13134 	 528.48009 	 0.93855
	 0.69836	 -0.72457	 0.89112	 0.59514	 0.52797	 -0.38018	 0.89935	 -0.86794	 -0.17043 	 561.35947 	 0.93142
	 0.64456	 -0.67356	 0.85652	 0.23935	 0.49917	 0.36623	 0.89168	 -0.18642	 0.00979 	 684.85841 	 1.07122
	 0.56795	 -0.81881	 0.89099	 0.81081	 0.64935	 0.47697	 0.93691	 -0.75048	 0.00992 	 413.15297 	 0.96566
	 0.52426	 -0.76650	 0.92490	 0.45945	 0.49994	 -0.50759	 0.93336	 -0.41906	 -0.12879 	 552.46960 	 0.94918
	 0.59955	 -0.70657	 0.90260	 0.34573	 0.41013	 -0.18687	 0.88626	 -0.87598	 -0.12754 	 558.95057 	 0.95233
	 0.67013	 -0.77279	 0.89213	 0.65369	 0.37855	 -0.29612	 0.86540	 -0.81677	 -0.17638 	 537.04504 	 0.91894
	 0.55780	 -0.58391	 0.93116	 0.33583	 0.67764	 -0.71962	 0.91130	 -0.23563	 -0.12175 	 421.32583 	 0.90178
	 0.53817	 -0.59212	 0.87919	 0.01196	 0.51674	 -0.72383	 0.90790	 -0.56803	 -0.12577 	 413.48693 	 0.89668
	 0.69836	 -0.74072	 0.86379	 0.59514	 0.63530	 -0.41052	 0.89935	 -0.86794	 -0.23427 	 532.16586 	 0.88756
	 0.67013	 -0.77279	 0.89213	 0.60202	 0.37855	 -0.28764	 0.86429	 -0.81677	 -0.17587 	 542.09724 	 0.92116
	 0.53692	 -0.83734	 0.92581	 0.59514	 0.52797	 -0.38559	 0.89935	 -0.86653	 -0.15083 	 538.15425 	 0.93238
	 0.54244	 -0.63892	 0.86511	 0.00560	 0.59320	 -0.82882	 0.91222	 -0.52350	 -0.10636 	 385.00500 	 0.89550
	 0.60013	 -0.71284	 0.85756	 0.36976	 0.61632	 -0.18746	 0.87106	 -0.85852	 0.00000 	 9999.00000 	 4.68699
	 0.53046	 -0.77134	 0.92847	 0.59514	 0.52797	 -0.00779	 0.89935	 -0.86653	 -0.08504 	 743.66120 	 1.04578
	 0.67663	 -0.88090	 0.88261	 0.65369	 0.37855	 -0.28764	 0.86540	 -0.81511	 -0.17126 	 570.65200 	 0.93461
	 0.54187	 -0.59048	 0.94660	 0.33511	 0.65555	 -0.18492	 0.90114	 -0.88877	 -0.12408 	 640.08996 	 0.98564
	 0.60013	 -0.68746	 0.90142	 0.34644	 0.58040	 -0.69164	 0.87021	 -0.87571	 -0.11625 	 409.63622 	 0.90004
	 0.60535	 -0.70675	 0.91192	 0.32771	 0.55984	 -0.66058	 0.88467	 -0.39179	 -0.18317 	 502.06512 	 0.90189
	 0.45795	 -0.68336	 0.90787	 0.79165	 0.56291	 -0.66058	 0.88462	 -0.39179	 0.00000 	 9999.00000 	 4.68699
	 0.54244	 -0.62180	 0.86228	 0.00560	 0.61331	 -0.78962	 0.90454	 -0.52350	 -0.12544 	 384.87790 	 0.88573
