l_s	l_l	R	T_f	theta	power	
	 0.32072	 0.33232	 0.02344	 338.41844	 -0.00005 	 6.93722
	 0.13487	 0.57668	 0.02682	 394.70496	 -0.18601 	 9.83947
	 0.16606	 0.32028	 0.01907	 406.91302	 -0.26024 	 12.76198
	 0.33314	 0.23143	 0.01933	 397.59042	 -0.28667 	 22.25746
	 0.21674	 0.36346	 0.02324	 403.23271	 -0.29888 	 16.68034
	 0.15930	 0.23143	 0.01930	 389.66157	 -0.18646 	 10.17356
	 0.21620	 0.38106	 0.01801	 308.31548	 0.00000 	 0.68479
	 0.33934	 0.30234	 0.02451	 399.09379	 -0.34410 	 24.17329
	 0.59609	 0.45767	 0.00409	 356.41249	 -0.01558 	 19.71545
	 0.12835	 0.34222	 0.02364	 403.55895	 -0.20053 	 10.10205
	 0.24135	 0.38106	 0.02934	 303.15458	 0.00000 	 0.00068
	 0.34293	 0.30599	 0.01802	 402.13505	 -0.28164 	 22.89308
	 0.10735	 0.34035	 0.00774	 405.30595	 -0.09090 	 5.90445
	 0.10190	 0.56711	 0.02427	 397.59197	 -0.15870 	 7.65018
	 0.10577	 0.53543	 0.01715	 304.46033	 0.00000 	 0.08498
	 0.59972	 0.36378	 0.02321	 402.21585	 -0.37766 	 39.60986
	 0.16949	 0.28923	 0.01713	 372.64391	 -0.09869 	 8.02988
	 0.10454	 0.53476	 0.00693	 305.37002	 0.00000 	 0.14231
	 0.10255	 0.54117	 0.02427	 397.59197	 -0.15960 	 7.69834
	 0.20900	 0.37453	 0.02017	 411.95812	 -0.28956 	 15.81716
	 0.27129	 0.33232	 0.02344	 390.86649	 -0.25363 	 17.47158
	 0.32072	 0.33232	 0.02344	 402.94140	 -0.35743 	 23.86515
	 0.59797	 0.33315	 0.02456	 402.21184	 -0.40011 	 40.14787
	 0.21831	 0.37431	 0.01965	 412.01342	 -0.28614 	 16.16920
	 0.12835	 0.19810	 0.02359	 403.22964	 -0.20080 	 10.07435
	 0.12076	 0.34110	 0.01527	 370.27138	 -0.07515 	 5.50951
	 0.32072	 0.33630	 0.02344	 402.93252	 -0.35736 	 23.86259
	 0.33934	 0.30599	 0.02936	 400.20806	 -0.37125 	 25.41851
	 0.59550	 0.33630	 0.02321	 402.21585	 -0.38173 	 39.59925
	 0.59797	 0.33167	 0.02377	 402.21184	 -0.38955 	 39.91234
	 0.10577	 0.36832	 0.01715	 404.50265	 -0.20381 	 8.27183
	 0.10711	 0.58489	 0.01627	 403.12962	 -0.19727 	 8.03794
	 0.33934	 0.27713	 0.02936	 402.09417	 -0.38139 	 25.96916
	 0.33934	 0.30599	 0.02967	 400.24007	 -0.37156 	 25.47302
	 0.11425	 0.19698	 0.01530	 366.74659	 -0.06064 	 4.88566
	 0.16606	 0.32028	 0.01891	 406.91302	 -0.25988 	 12.74383
	 0.21622	 0.38106	 0.01918	 303.15458	 0.00000 	 0.00061
	 0.10266	 0.58949	 0.01727	 304.46033	 0.00000 	 0.08248
	 0.10636	 0.36219	 0.01714	 305.91177	 0.00000 	 0.18011
	 0.17705	 0.55478	 0.02206	 400.08984	 -0.25454 	 13.22078
	 0.33934	 0.30234	 0.02932	 399.09379	 -0.36448 	 25.07675
	 0.33934	 0.30599	 0.02456	 400.19919	 -0.35267 	 24.52356
	 0.10457	 0.35665	 0.00707	 371.53149	 -0.05071 	 4.61106
	 0.21097	 0.10079	 0.02404	 402.64741	 -0.29127 	 16.24094
	 0.21620	 0.10299	 0.01772	 401.34677	 -0.25778 	 15.25713
	 0.20863	 0.38547	 0.02407	 304.47195	 0.00000 	 0.16911
	 0.21620	 0.36315	 0.01877	 303.15458	 0.00000 	 0.00061
	 0.21531	 0.38138	 0.02309	 403.23271	 -0.29778 	 16.56081
	 0.10688	 0.36289	 0.02316	 403.23309	 -0.17307 	 8.39892
	 0.21711	 0.37331	 0.01635	 403.12924	 -0.23819 	 14.84527
	 0.10711	 0.58270	 0.02342	 403.12650	 -0.17187 	 8.41158
	 0.21242	 0.33408	 0.01661	 403.23183	 -0.23981 	 14.61064
	 0.14507	 0.40971	 0.00774	 402.19718	 -0.09846 	 8.04585
	 0.59550	 0.36444	 0.02321	 405.32461	 -0.38082 	 39.54303
	 0.21620	 0.36315	 0.01877	 318.75519	 0.00000 	 2.06890
	 0.59550	 0.36444	 0.02321	 402.21585	 -0.38173 	 39.59925
	 0.13487	 0.57668	 0.02682	 342.25693	 -0.00068 	 3.24190
	 0.33934	 0.30234	 0.02932	 399.09379	 -0.36448 	 25.07675
	 0.22082	 0.33315	 0.01800	 402.21184	 -0.26397 	 15.67246
	 0.58887	 0.38106	 0.02457	 303.15458	 0.00000 	 0.00165
	 0.10526	 0.58317	 0.01715	 409.67915	 -0.20785 	 8.43920
	 0.12127	 0.34110	 0.01527	 370.27138	 -0.07526 	 5.53153
	 0.10199	 0.56711	 0.02518	 397.59197	 -0.15437 	 7.66432
	 0.13980	 0.28926	 0.02429	 371.75803	 -0.09626 	 6.91659
	 0.57901	 0.32028	 0.02166	 402.40940	 -0.35562 	 37.99881
	 0.18001	 0.33315	 0.02463	 406.71547	 -0.26271 	 14.49654
	 0.16606	 0.32028	 0.01907	 406.91302	 -0.26024 	 12.76198
	 0.34065	 0.30599	 0.02466	 400.18795	 -0.35378 	 24.62759
	 0.10211	 0.58489	 0.01699	 402.13651	 -0.19424 	 7.79314
	 0.35045	 0.30599	 0.02862	 403.12817	 -0.39446 	 26.96424
	 0.32294	 0.33630	 0.02344	 398.31477	 -0.32491 	 22.66388
	 0.20668	 0.35077	 0.01801	 411.95812	 -0.26033 	 14.80338
	 0.11463	 0.28849	 0.02426	 366.79138	 -0.06488 	 5.15768
	 0.21242	 0.33294	 0.02376	 403.22871	 -0.29495 	 16.42201
	 0.10235	 0.53951	 0.00774	 398.30100	 -0.08913 	 5.60923
	 0.10749	 0.34495	 0.02427	 404.59691	 -0.16762 	 8.54194
	 0.10231	 0.54117	 0.02427	 397.59197	 -0.15926 	 7.68014
	 0.10577	 0.36832	 0.01832	 404.50265	 -0.20002 	 8.32905
	 0.10577	 0.58074	 0.01716	 370.63905	 -0.07544 	 4.96582
	 0.12076	 0.34110	 0.01714	 404.13490	 -0.21693 	 9.26860
	 0.21620	 0.38106	 0.01801	 303.15458	 0.00000 	 0.00061
	 0.21620	 0.36315	 0.01877	 303.15458	 0.00000 	 0.00061
	 0.33945	 0.30844	 0.02936	 404.51025	 -0.39183 	 26.64413
	 0.10678	 0.36832	 0.01715	 402.12745	 -0.19896 	 8.13360
	 0.20675	 0.28899	 0.02522	 370.59139	 -0.10947 	 9.79101
	 0.14198	 0.37472	 0.01799	 412.52350	 -0.23639 	 10.85659
	 0.10439	 0.33183	 0.00774	 400.07246	 -0.08960 	 5.72211
	 0.36523	 0.30234	 0.02936	 405.43268	 -0.41565 	 28.83635
	 0.10190	 0.56711	 0.02511	 403.15338	 -0.15516 	 8.01218
	 0.20863	 0.10309	 0.02407	 400.90548	 -0.28286 	 15.76883
	 0.13487	 0.57668	 0.02672	 339.73898	 -0.00010 	 3.02741
	 0.13680	 0.37472	 0.01810	 412.81034	 -0.23688 	 10.66266
	 0.10526	 0.58317	 0.01715	 409.67915	 -0.20785 	 8.43920
	 0.10255	 0.54117	 0.02427	 397.59197	 -0.15960 	 7.69834
	 0.11346	 0.34048	 0.00707	 372.35820	 -0.05320 	 5.05918
	 0.11808	 0.35652	 0.00671	 404.47911	 -0.07877 	 6.26365
	 0.20890	 0.37445	 0.02426	 411.95812	 -0.30295 	 17.49282
	 0.10123	 0.56711	 0.02018	 397.59197	 -0.17590 	 7.51361
	 0.16657	 0.31535	 0.01842	 406.91302	 -0.25383 	 12.56047
	 0.10486	 0.54445	 0.00839	 405.39099	 -0.09744 	 5.86072
	 0.16724	 0.57668	 0.02682	 336.19803	 0.00000 	 3.38949
	 0.13369	 0.32028	 0.01891	 411.82100	 -0.24336 	 11.16760
	 0.16975	 0.25957	 0.02926	 406.94177	 -0.21901 	 13.73312
	 0.36153	 0.30354	 0.01885	 405.40393	 -0.29816 	 24.38764
	 0.14780	 0.38106	 0.01801	 303.15458	 0.00000 	 0.00042
	 0.21038	 0.37472	 0.01799	 412.52350	 -0.26148 	 15.03457
	 0.13980	 0.28926	 0.02923	 371.75803	 -0.09672 	 7.11286
	 0.35432	 0.27713	 0.02442	 402.09417	 -0.37182 	 26.08463
	 0.32411	 0.33702	 0.02339	 303.33742	 0.00000 	 0.03724
	 0.21503	 0.35814	 0.01882	 402.62057	 -0.27325 	 15.60933
	 0.12076	 0.34110	 0.01714	 404.13490	 -0.21693 	 9.26860
	 0.21674	 0.36346	 0.02324	 403.23271	 -0.29888 	 16.68034
	 0.10165	 0.35665	 0.00672	 399.54602	 -0.07498 	 5.34118
	 0.34898	 0.27713	 0.02951	 375.72128	 -0.18352 	 18.01675
	 0.10255	 0.54117	 0.02452	 397.59197	 -0.15836 	 7.70064
	 0.13983	 0.28926	 0.02520	 371.75803	 -0.09659 	 6.95642
	 0.20863	 0.30795	 0.02407	 401.25374	 -0.28421 	 15.83082
	 0.36523	 0.10177	 0.02936	 405.08442	 -0.41417 	 28.73453
	 0.10526	 0.58304	 0.01715	 409.67915	 -0.20785 	 8.43920
	 0.21620	 0.38507	 0.01801	 303.15458	 0.00000 	 0.00061
	 0.21022	 0.34088	 0.02034	 399.55582	 -0.26844 	 15.13854
	 0.12076	 0.35917	 0.01724	 404.04739	 -0.21834 	 9.32179
	 0.32325	 0.30030	 0.02939	 398.39120	 -0.35062 	 23.78070
	 0.33913	 0.33357	 0.02409	 404.43383	 -0.36932 	 25.23879
	 0.16628	 0.31905	 0.02518	 402.49314	 -0.23933 	 12.94839
	 0.13960	 0.26159	 0.01909	 370.35868	 -0.08546 	 6.49757
	 0.32072	 0.33512	 0.02022	 402.93252	 -0.31209 	 22.45124
	 0.20889	 0.36027	 0.02367	 399.40750	 -0.27662 	 15.47027
	 0.21642	 0.53522	 0.02300	 403.23271	 -0.29861 	 16.62989
	 0.10332	 0.36776	 0.00798	 401.40006	 -0.09182 	 5.69155
	 0.10535	 0.26952	 0.01715	 409.67915	 -0.20797 	 8.44562
	 0.11438	 0.59285	 0.01517	 366.85212	 -0.06090 	 4.89748
	 0.32072	 0.33882	 0.01875	 405.24557	 -0.29154 	 21.91556
	 0.36714	 0.29864	 0.02936	 404.17818	 -0.41135 	 28.60518
	 0.13487	 0.54536	 0.02672	 407.16218	 -0.19087 	 10.93051
	 0.10486	 0.58084	 0.00490	 337.91864	 -0.00002 	 2.23598
	 0.14780	 0.38134	 0.01689	 304.54427	 0.00000 	 0.12636
	 0.13680	 0.37444	 0.01801	 412.20232	 -0.23497 	 10.58830
	 0.10123	 0.57769	 0.02017	 397.17652	 -0.17512 	 7.47890
	 0.13680	 0.37472	 0.01811	 412.96144	 -0.23733 	 10.67989
	 0.33934	 0.30592	 0.02936	 402.13505	 -0.38159 	 25.98083
	 0.34070	 0.30851	 0.02936	 404.46226	 -0.39265 	 26.72557
	 0.17978	 0.33216	 0.02426	 411.95812	 -0.26624 	 15.06818
	 0.20913	 0.37543	 0.02517	 406.71547	 -0.29360 	 16.81470
	 0.10123	 0.53959	 0.01982	 397.59197	 -0.17696 	 7.49877
	 0.10235	 0.56703	 0.00810	 398.30100	 -0.09326 	 5.66815
	 0.16279	 0.30227	 0.02751	 405.48710	 -0.22135 	 13.01802
	 0.36900	 0.31542	 0.01841	 406.85860	 -0.28957 	 24.53845
	 0.36188	 0.30030	 0.02969	 398.35742	 -0.37317 	 26.43399
	 0.10486	 0.54445	 0.00691	 405.42477	 -0.07878 	 5.57317
	 0.14780	 0.35831	 0.01723	 405.55057	 -0.23064 	 10.94069
	 0.12076	 0.38192	 0.01802	 303.86346	 0.00000 	 0.05283
	 0.12618	 0.58304	 0.01715	 396.72803	 -0.19483 	 8.86795
	 0.33066	 0.30599	 0.02862	 410.00125	 -0.40076 	 27.24393
	 0.10231	 0.35665	 0.00707	 371.53149	 -0.05053 	 4.51384
	 0.37812	 0.10177	 0.02936	 404.18349	 -0.41905 	 29.41264
	 0.13007	 0.32028	 0.01891	 411.10981	 -0.23760 	 10.80873
	 0.33934	 0.30599	 0.02967	 401.81689	 -0.37976 	 25.93027
	 0.20539	 0.29992	 0.02010	 398.41718	 -0.25808 	 14.56944
	 0.32675	 0.35909	 0.02968	 399.38152	 -0.35858 	 24.34591
	 0.10420	 0.34859	 0.02766	 371.25873	 -0.07925 	 5.30112
	 0.13525	 0.58437	 0.00622	 351.56168	 -0.01187 	 4.06961
	 0.32072	 0.33519	 0.02022	 402.93128	 -0.31208 	 22.45090
	 0.31854	 0.30543	 0.02862	 403.12941	 -0.37184 	 24.64979
	 0.20890	 0.37445	 0.02435	 411.95812	 -0.30221 	 17.49401
	 0.13487	 0.57668	 0.02672	 339.73898	 -0.00010 	 3.02741
	 0.13369	 0.32028	 0.01838	 412.12237	 -0.23799 	 10.63231
	 0.16777	 0.32028	 0.01907	 386.04073	 -0.17040 	 10.08239
	 0.32294	 0.33630	 0.02344	 398.28623	 -0.32470 	 22.65552
	 0.20889	 0.36027	 0.02367	 399.40750	 -0.27662 	 15.47027
	 0.13315	 0.32028	 0.01891	 398.77622	 -0.21196 	 9.73917
	 0.10268	 0.58489	 0.01699	 412.49313	 -0.20410 	 8.18975
