xs-	ys-	xs+	ys+	T_f	theta	power	
	 0.72908	 -0.51557	 0.93000	 0.79074	 400.77088	 -0.25194 	 14.18905
	 0.56404	 -0.40485	 0.88198	 0.77363	 400.75663	 0.00000 	 0.00000
	 0.73722	 -0.36681	 0.88147	 0.79031	 411.51605	 -0.22826 	 11.12759
	 0.70940	 -0.42132	 0.92634	 0.77257	 403.04005	 -0.27436 	 15.44797
	 0.71269	 -0.51611	 0.88119	 0.14753	 406.59420	 -0.28110 	 13.07277
	 0.72867	 -0.46453	 0.82610	 0.79074	 400.77088	 -0.15541 	 6.94879
	 0.49219	 -0.83159	 0.93636	 0.87273	 308.33309	 0.00000 	 1.42170
	 0.70949	 -0.41600	 0.87918	 0.77286	 406.63352	 -0.24574 	 12.47076
	 0.71074	 -0.42136	 0.89654	 0.07980	 406.63352	 -0.28758 	 14.05331
	 0.71743	 -0.46726	 0.82612	 0.77392	 392.87127	 -0.10856 	 6.75847
	 0.68907	 -0.42132	 0.88198	 0.81181	 406.63352	 -0.26603 	 14.11215
	 0.73365	 -0.51406	 0.88198	 0.79109	 400.69039	 -0.21772 	 10.63932
	 0.71463	 -0.40691	 0.93078	 0.54203	 404.82246	 -0.28216 	 15.69051
	 0.70753	 -0.85813	 0.93759	 0.58586	 317.54197	 0.00000 	 2.05570
	 0.49964	 -0.56087	 0.76228	 0.87273	 308.33309	 -0.00000 	 0.85359
	 0.73747	 -0.56023	 0.76298	 0.46693	 308.14636	 0.00000 	 0.12672
	 0.49110	 -0.84925	 0.93636	 0.87273	 372.54962	 -0.14878 	 20.64996
	 0.56404	 -0.40485	 0.82744	 0.77363	 400.75663	 0.00990 	 7.28861
	 0.72908	 -0.51557	 0.88101	 0.79074	 400.77088	 -0.22147 	 10.87819
	 0.72309	 -0.47239	 0.87836	 0.77363	 390.12937	 -0.15768 	 9.43660
	 0.57550	 -0.39971	 0.82876	 0.79074	 400.82481	 0.00972 	 7.01703
	 0.70602	 -0.49740	 0.92663	 0.15222	 404.75621	 -0.31251 	 16.62805
	 0.70602	 -0.49740	 0.82310	 0.24163	 404.75621	 -0.20965 	 8.67404
	 0.71074	 -0.52265	 0.92520	 0.07849	 403.02207	 -0.29561 	 15.88012
	 0.71269	 -0.41483	 0.89689	 0.14857	 406.61217	 -0.28210 	 13.85821
	 0.70569	 -0.52073	 0.88050	 0.15217	 406.89099	 -0.29104 	 13.63748
	 0.71269	 -0.51611	 0.94997	 0.14771	 406.59420	 -0.33171 	 18.24831
	 0.70568	 -0.51611	 0.92965	 0.15221	 404.75621	 -0.31616 	 16.95532
	 0.72293	 -0.46507	 0.94882	 0.15234	 406.89099	 -0.30785 	 17.03915
	 0.71049	 -0.42735	 0.90281	 0.37387	 408.33541	 -0.30066 	 14.78389
	 0.56961	 -0.40312	 0.88192	 0.77286	 311.03344	 0.00000 	 0.00000
	 0.73037	 -0.52149	 0.88119	 0.37466	 406.59420	 -0.25598 	 11.67268
	 0.71270	 -0.42197	 0.90275	 0.14674	 308.16405	 0.00000 	 0.58667
	 0.73352	 -0.51406	 0.91290	 0.79109	 403.19898	 -0.25059 	 13.11332
	 0.70317	 -0.51601	 0.89805	 0.79384	 400.70538	 -0.25986 	 13.80001
	 0.74030	 -0.56960	 0.76812	 0.13408	 370.22644	 -0.04027 	 1.62462
	 0.69051	 -0.49740	 0.82310	 0.45903	 404.75621	 -0.17540 	 9.34457
	 0.74172	 -0.56990	 0.92520	 0.15221	 404.75621	 -0.26285 	 13.79105
	 0.70426	 -0.51581	 0.76726	 0.46693	 372.32012	 0.00995 	 2.15742
	 0.73722	 -0.52006	 0.88146	 0.79031	 411.47185	 -0.26795 	 11.82332
	 0.70610	 -0.36286	 0.93079	 0.15222	 404.80039	 -0.29257 	 16.28713
	 0.70955	 -0.41895	 0.76412	 0.58586	 315.78300	 -0.00000 	 0.49246
	 0.71444	 -0.56688	 0.88094	 0.03617	 406.63352	 -0.27841 	 13.08854
	 0.72867	 -0.46453	 0.82561	 0.79074	 400.56755	 -0.15380 	 6.89775
	 0.56821	 -0.54281	 0.88246	 0.77286	 411.71769	 -0.36275 	 23.96841
	 0.73417	 -0.46706	 0.82710	 0.78078	 404.75621	 -0.18037 	 7.12599
	 0.70632	 -0.58427	 0.94709	 0.16229	 392.87127	 -0.24502 	 15.67629
	 0.70610	 -0.51611	 0.94807	 0.15234	 404.75621	 -0.32792 	 18.28244
	 0.70947	 -0.41604	 0.86087	 0.07980	 406.63352	 -0.25709 	 11.44134
	 0.71269	 -0.51611	 0.93069	 0.14725	 393.52410	 -0.22792 	 14.08822
	 0.74416	 -0.51611	 0.92563	 0.14725	 403.00072	 -0.24039 	 13.10766
	 0.73014	 -0.51557	 0.82647	 0.79074	 400.70946	 -0.17058 	 7.07613
	 0.71164	 -0.51611	 0.93078	 0.14725	 403.06215	 -0.29739 	 16.17538
	 0.70566	 -0.46507	 0.93086	 0.15222	 406.62941	 -0.32631 	 17.24219
	 0.71077	 -0.42136	 0.89608	 0.07980	 406.89510	 -0.28890 	 14.06335
	 0.57463	 -0.40053	 0.87892	 0.77286	 311.03344	 0.00000 	 0.00000
	 0.70108	 -0.52198	 0.92663	 0.15222	 404.75621	 -0.32012 	 17.14192
	 0.70755	 -0.51425	 0.87963	 0.24163	 404.72967	 -0.27533 	 13.02157
	 0.73212	 -0.49721	 0.82545	 0.79109	 400.71693	 -0.16668 	 6.85872
	 0.70569	 -0.46507	 0.94928	 0.15234	 406.89099	 -0.34102 	 18.68801
	 0.49219	 -0.84925	 0.93636	 0.87273	 308.33309	 -0.00000 	 1.42206
	 0.74230	 -0.36681	 0.88147	 0.79031	 411.51605	 -0.22228 	 10.76364
	 0.74030	 -0.56960	 0.76812	 0.13408	 370.22644	 -0.04027 	 1.62462
	 0.71319	 -0.51403	 0.88198	 0.79109	 403.55798	 -0.25335 	 12.40488
	 0.73330	 -0.51614	 0.93078	 0.54203	 400.68062	 -0.24664 	 13.91639
	 0.70569	 -0.38675	 0.93006	 0.15234	 412.46820	 -0.35804 	 18.07607
	 0.70569	 -0.46507	 0.94963	 0.15222	 406.89099	 -0.34126 	 18.71437
	 0.73722	 -0.58220	 0.88146	 0.79031	 411.47185	 -0.26945 	 12.02581
	 0.56821	 -0.54281	 0.88246	 0.77286	 411.71769	 -0.36275 	 23.96841
	 0.71417	 -0.46726	 0.83929	 0.54157	 392.87127	 -0.14328 	 7.82331
	 0.73339	 -0.51611	 0.92367	 0.80473	 404.75621	 -0.26691 	 14.14066
	 0.57252	 -0.46467	 0.88175	 0.76731	 411.51133	 -0.24361 	 22.63356
	 0.72432	 -0.40299	 0.82633	 0.79074	 400.77512	 -0.12556 	 6.95716
	 0.56585	 -0.35891	 0.88192	 0.77286	 311.03344	 0.00000 	 0.00000
	 0.56821	 -0.54281	 0.88246	 0.77286	 411.71769	 -0.36275 	 23.96841
	 0.71323	 -0.46706	 0.82710	 0.78078	 404.82558	 -0.14872 	 8.10848
	 0.73363	 -0.51611	 0.94997	 0.18595	 406.52483	 -0.29232 	 16.30198
	 0.73014	 -0.51557	 0.81577	 0.79074	 400.70946	 -0.15424 	 6.33230
	 0.72908	 -0.51557	 0.88159	 0.79074	 400.77088	 -0.22188 	 10.91762
	 0.70569	 -0.46507	 0.93041	 0.15222	 406.89099	 -0.32773 	 17.26171
	 0.70602	 -0.49740	 0.82310	 0.24163	 404.75621	 -0.20965 	 8.67404
	 0.71497	 -0.49760	 0.82310	 0.13250	 404.75621	 -0.21040 	 8.17538
	 0.72867	 -0.39975	 0.82610	 0.79042	 400.77088	 -0.13333 	 6.73633
	 0.70947	 -0.41604	 0.88198	 0.18359	 406.63352	 -0.27441 	 12.99770
	 0.70947	 -0.42871	 0.84338	 0.07980	 406.63352	 -0.24029 	 10.14156
	 0.71049	 -0.42735	 0.90281	 0.37387	 408.33541	 -0.30066 	 14.78389
	 0.70569	 -0.52073	 0.88050	 0.25874	 406.89099	 -0.29089 	 13.60553
	 0.70569	 -0.52073	 0.88050	 0.15217	 406.89099	 -0.29104 	 13.63748
	 0.74030	 -0.56960	 0.76812	 0.13408	 370.22644	 -0.04027 	 1.62462
	 0.71269	 -0.51611	 0.94997	 0.14771	 406.59420	 -0.33171 	 18.24831
	 0.70566	 -0.40148	 0.93086	 0.15222	 406.62941	 -0.31757 	 16.94060
	 0.73436	 -0.46726	 0.84145	 0.79074	 393.12632	 -0.14582 	 6.99904
	 0.70638	 -0.53206	 0.92663	 0.15222	 402.88856	 -0.30167 	 16.33814
	 0.58434	 -0.47008	 0.88237	 0.77286	 411.51605	 -0.30703 	 22.46614
