xs-	ys-	xs+	ys+	xl-	yl-	xl+	yl+	theta	
	 0.63130	 -0.75462	 0.92648	 0.46044	 0.60188	 0.76151	 0.86869	 -0.87598	 0.00000
	 0.66599	 -0.61228	 0.87937	 0.71927	 0.73948	 -0.20571	 0.85929	 -0.37670	 0.00000
	 0.74106	 -0.63671	 0.88303	 0.74533	 0.49537	 0.70899	 0.97155	 -0.04333	 -0.00537
	 0.67533	 -0.74836	 0.79106	 0.28670	 0.73948	 0.74456	 0.85929	 -0.37714	 0.00000
	 0.73880	 -0.62799	 0.90399	 0.36847	 0.50219	 0.76192	 0.87098	 -0.87598	 0.00000
	 0.63228	 -0.48025	 0.79472	 0.30047	 0.59506	 -0.32222	 0.97626	 -0.04314	 0.00000
	 0.74169	 -0.84531	 0.85435	 0.32215	 0.52183	 0.24689	 0.77802	 -0.87976	 -0.20421
	 0.55733	 -0.57809	 0.78867	 0.37558	 0.50156	 0.75984	 0.96363	 -0.88097	 0.00000
	 0.59177	 -0.77748	 0.90240	 0.28449	 0.62772	 -0.32855	 0.94712	 -0.17710	 0.00000
	 0.69195	 -0.60040	 0.96534	 0.65454	 0.38485	 -0.70299	 0.87319	 -0.82383	 -0.10868
	 0.56563	 -0.62180	 0.91869	 0.44501	 0.65587	 -0.74786	 0.87244	 -0.55116	 -0.18178
	 0.63223	 -0.87760	 0.83108	 0.02892	 0.50192	 -0.18687	 0.93547	 -0.87598	 0.00000
	 0.67561	 -0.39747	 0.96490	 0.80983	 0.61890	 -0.38825	 0.96532	 -0.58008	 -0.23576
	 0.59564	 -0.75098	 0.88390	 0.04012	 0.74046	 0.74456	 0.87990	 -0.37670	 -0.00992
	 0.67855	 -0.75098	 0.87937	 0.72038	 0.73948	 0.74456	 0.87660	 -0.37670	 -0.35588
	 0.74106	 -0.56581	 0.79472	 0.31195	 0.49537	 0.70899	 0.95724	 -0.04314	 -0.24383
	 0.63130	 -0.62799	 0.90399	 0.36003	 0.60188	 -0.18687	 0.87098	 -0.87598	 -0.27647
	 0.69353	 -0.78736	 0.87937	 0.71370	 0.73464	 0.74456	 0.86754	 -0.37670	 -0.37877
	 0.67855	 -0.75098	 0.87937	 0.72038	 0.73555	 0.74456	 0.87660	 -0.37670	 -0.03550
	 0.69353	 -0.75175	 0.91108	 0.71370	 0.74225	 0.71682	 0.89296	 -0.37670	 -0.31806
	 0.64045	 -0.58967	 0.79732	 0.46044	 0.60445	 -0.18687	 0.86075	 -0.86315	 0.00000
	 0.73082	 -0.56581	 0.91468	 0.31195	 0.51889	 0.70899	 0.95310	 -0.05688	 -0.00266
	 0.74106	 -0.60196	 0.79472	 0.37411	 0.49770	 0.70899	 0.97155	 -0.04314	 -0.24136
	 0.74106	 -0.77027	 0.79472	 0.33500	 0.51203	 0.70895	 0.87552	 -0.03742	 -0.19639
	 0.69354	 -0.75098	 0.85651	 0.40456	 0.52347	 0.78438	 0.77371	 -0.43178	 0.00000
	 0.56411	 -0.84531	 0.87780	 0.69247	 0.73446	 0.18763	 0.87859	 -0.87976	 0.00000
	 0.69354	 -0.75098	 0.85739	 0.71331	 0.73948	 0.74456	 0.87467	 -0.37670	 -0.39571
	 0.67855	 -0.75098	 0.87937	 0.71927	 0.73948	 0.74456	 0.85929	 -0.37670	 -0.36072
	 0.72767	 -0.81830	 0.87937	 0.71370	 0.73948	 0.74456	 0.87467	 -0.37670	 -0.30183
	 0.63130	 -0.61592	 0.91727	 0.46044	 0.60188	 -0.18687	 0.86869	 -0.87598	 -0.26357
	 0.74106	 -0.60196	 0.79472	 0.31282	 0.51431	 0.70899	 0.97155	 -0.04314	 -0.22959
