l_s	l_l	R	theta	
	 0.22456	 0.48322	 0.00382	 0.15914
	 0.12118	 0.43082	 0.00445	 0.17737
	 0.25304	 0.38839	 0.00471	 0.18920
	 0.11270	 0.43082	 0.00361	 0.14422
	 0.25606	 0.42816	 0.00426	 0.17815
	 0.26597	 0.40276	 0.00382	 5.59665
	 0.25518	 0.42893	 0.00521	 0.20858
	 0.23048	 0.42974	 0.00377	 0.15690
	 0.10245	 0.39740	 0.00354	 0.14096
	 0.25518	 0.43409	 0.00382	 0.15856
	 0.25518	 0.39497	 0.00382	 0.15849
	 0.11628	 0.43082	 0.00467	 0.18553
	 0.25518	 0.46013	 0.00363	 5.83900
	 0.25518	 0.40146	 0.00382	 0.15845
	 0.25819	 0.45700	 0.00382	 0.15879
	 0.24194	 0.41857	 0.00382	 0.15873
	 0.11270	 0.39181	 0.00868	 0.33308
	 0.25518	 0.39118	 0.00382	 0.15848
	 0.25518	 0.43082	 0.00501	 0.20097
	 0.25516	 0.44605	 0.00382	 0.15858
	 0.25412	 0.43372	 0.00321	 7.87801
	 0.25518	 0.44782	 0.00382	 0.15853
	 0.25518	 0.39118	 0.00421	 0.17566
	 0.27662	 0.42799	 0.00321	 9.06013
	 0.25518	 0.39118	 0.00354	 6.13509
	 0.25518	 0.39018	 0.00382	 0.15848
	 0.25523	 0.42996	 0.00259	 11.50421
	 0.25523	 0.42996	 0.00402	 0.16727
	 0.25518	 0.43082	 0.00382	 0.15855
	 0.10270	 0.43077	 0.00195	 8.35908
	 0.22176	 0.43409	 0.00377	 4.93377
	 0.25410	 0.43100	 0.00201	 18.19503
	 0.25822	 0.45427	 0.00426	 0.17824
	 0.25410	 0.43022	 0.00383	 0.15888
	 0.25822	 0.45506	 0.00532	 0.21329
	 0.22612	 0.45436	 0.00382	 0.15906
	 0.25518	 0.46081	 0.00382	 0.15860
	 0.25518	 0.42816	 0.00382	 0.15855
	 0.26301	 0.42836	 0.00403	 0.16789
	 0.25518	 0.40331	 0.00382	 0.15850
	 0.25518	 0.45080	 0.00382	 0.15854
	 0.25943	 0.42978	 0.00384	 0.15941
	 0.10990	 0.41724	 0.00361	 0.14422
	 0.25137	 0.36914	 0.00381	 0.15827
	 0.11343	 0.39118	 0.00354	 0.14136
	 0.10245	 0.37689	 0.00354	 0.14093
	 0.10862	 0.36914	 0.00354	 0.14104
	 0.20706	 0.42974	 0.00377	 0.15735
	 0.25518	 0.43788	 0.00382	 0.15857
	 0.25518	 0.45080	 0.00382	 0.15854
	 0.25518	 0.40146	 0.00382	 0.15845
	 0.10245	 0.37689	 0.00195	 8.37272
	 0.10990	 0.41724	 0.00335	 0.13384
	 0.27846	 0.45884	 0.00381	 5.82251
	 0.10034	 0.37887	 0.00354	 0.14118
	 0.25518	 0.38610	 0.00382	 0.15847
	 0.24923	 0.31442	 0.00381	 0.15815
