xs-	ys-	xs+	ys+	xl-	yl-	xl+	yl+	T_f	theta	power	
	 0.67848	 -0.78653	 0.94216	 0.48441	 0.60737	 -0.42537	 0.82833	 -0.11879	 366.11581	 -0.07165 	 11.01714
	 0.74424	 -0.35789	 0.85582	 0.30282	 0.42374	 0.05895	 0.76152	 -0.46982	 395.35664	 -0.14359 	 7.19134
	 0.70483	 -0.86868	 0.84971	 0.75887	 0.62412	 -0.45385	 0.76184	 -0.39321	 396.06815	 -0.24203 	 10.77066
	 0.67378	 -0.40072	 0.79088	 0.01834	 0.69618	 0.06536	 0.92982	 -0.48946	 365.35957	 0.00000 	 0.00000
	 0.73305	 -0.87893	 0.85395	 0.00683	 0.62221	 -0.45401	 0.76375	 -0.49042	 365.34447	 -0.05890 	 5.35014
	 0.67896	 -0.78800	 0.94109	 0.48805	 0.60354	 0.06997	 0.90449	 -0.38423	 394.58914	 0.00000 	 0.00000
	 0.73305	 -0.87893	 0.85395	 0.00292	 0.55498	 -0.65003	 0.76375	 -0.57084	 365.24381	 -0.05858 	 5.33858
	 0.74461	 -0.76473	 0.76314	 0.42621	 0.43084	 0.60918	 0.89243	 -0.45189	 339.51656	 -0.00012 	 0.93272
	 0.49424	 -0.57496	 0.85243	 0.37229	 0.62642	 -0.27550	 0.82567	 -0.77592	 403.92039	 -0.33252 	 20.71515
	 0.73305	 -0.35642	 0.88739	 0.30588	 0.43065	 -0.14286	 0.76040	 -0.12294	 372.76235	 -0.07174 	 7.03671
	 0.73305	 -0.35642	 0.85395	 0.25825	 0.43065	 -0.27120	 0.76375	 -0.49042	 366.88332	 -0.05215 	 5.03498
	 0.60968	 -0.66273	 0.78992	 0.20523	 0.55238	 0.62584	 0.82047	 -0.49765	 383.75269	 0.00000 	 0.00000
	 0.69284	 -0.66772	 0.96177	 0.40385	 0.55650	 0.53241	 0.96367	 -0.68199	 354.53718	 -0.10000 	 9.23134
	 0.60603	 -0.66273	 0.78794	 0.20523	 0.41058	 0.62584	 0.82036	 -0.45332	 383.75269	 -0.02131 	 9.43188
	 0.50908	 -0.25956	 0.92707	 0.79281	 0.66783	 0.06820	 0.82283	 -0.72769	 390.18601	 0.00000 	 0.00000
	 0.67845	 -0.79250	 0.94337	 0.45923	 0.60354	 0.15626	 0.90482	 -0.11879	 394.58914	 -0.00432 	 6.29584
	 0.50842	 -0.65549	 0.92953	 0.76763	 0.66783	 0.11125	 0.92599	 -0.80266	 390.18601	 0.00000 	 0.00000
	 0.47158	 -0.26106	 0.80695	 0.20555	 0.70223	 -0.65365	 0.93212	 -0.72720	 306.20182	 0.00000 	 0.62862
	 0.73305	 -0.35603	 0.85395	 0.30282	 0.43069	 -0.26558	 0.75599	 -0.49042	 366.88332	 -0.05313 	 5.04085
	 0.56340	 -0.30945	 0.84977	 0.40629	 0.43392	 0.55662	 0.98508	 -0.75768	 354.53718	 0.00000 	 0.00000
	 0.73671	 -0.78811	 0.85338	 0.48805	 0.60088	 0.07556	 0.89893	 -0.42004	 409.57945	 -0.05965 	 8.78771
	 0.64930	 -0.87792	 0.84791	 0.00683	 0.55498	 0.60553	 0.76375	 -0.21222	 367.74281	 -0.08307 	 8.72109
	 0.65266	 -0.58275	 0.80645	 0.37680	 0.62674	 -0.70625	 0.82722	 -0.82717	 306.11736	 -0.00000 	 0.28641
	 0.45596	 -0.57406	 0.85248	 0.37229	 0.62444	 -0.14284	 0.82476	 -0.09158	 403.07189	 -0.38509 	 25.92859
