xs-	ys-	xs+	ys+	theta	
	 0.72811	 -0.57828	 0.96096	 0.10288	 -0.45126
	 0.72811	 -0.51416	 0.94760	 0.10288	 -0.46273
	 0.72873	 -0.52976	 0.94049	 0.40260	 -0.44968
	 0.71707	 -0.68306	 0.95867	 0.66437	 -0.39870
	 0.73464	 -0.52976	 0.94963	 0.37277	 -0.46756
	 0.72941	 -0.51591	 0.94722	 0.12948	 -0.46290
	 0.72716	 -0.66776	 0.93306	 0.37322	 -0.38077
	 0.74283	 -0.54637	 0.94718	 0.41433	 -0.46330
	 0.72716	 -0.50868	 0.94652	 0.66453	 -0.47120
	 0.71954	 -0.48461	 0.93364	 0.43298	 -0.45825
	 0.72811	 -0.52976	 0.98307	 0.59149	 -0.50863
	 0.72809	 -0.50199	 0.94721	 0.09464	 -0.46812
	 0.72941	 -0.51591	 0.94800	 0.10288	 -0.46373
	 0.72811	 -0.52976	 0.98263	 0.59149	 -0.50805
	 0.72549	 -0.50550	 0.94709	 0.39935	 -0.46822
	 0.73653	 -0.53055	 0.94963	 0.37277	 -0.46918
	 0.72809	 -0.56531	 0.94721	 0.04123	 -0.43707
	 0.72811	 -0.51416	 0.92269	 0.10288	 -0.42569
	 0.72811	 -0.51409	 0.94721	 0.10288	 -0.46219
	 0.72811	 -0.51416	 0.94760	 0.10288	 -0.46273
	 0.72738	 -0.50629	 0.94709	 0.39935	 -0.46940
	 0.71954	 -0.50625	 0.94723	 0.18249	 -0.46014
	 0.73252	 -0.51591	 0.94117	 0.64606	 -0.46358
	 0.72941	 -0.51591	 0.93341	 0.12948	 -0.44211
	 0.72536	 -0.51309	 0.94719	 0.11936	 -0.46039
	 0.72941	 -0.51611	 0.95206	 0.12948	 -0.47005
	 0.72809	 -0.54925	 0.93954	 0.57016	 -0.44145
	 0.74283	 -0.51609	 0.94708	 0.42106	 -0.48128
	 0.72011	 -0.50834	 0.97674	 0.58829	 -0.49991
	 0.72809	 -0.51897	 0.94424	 0.09464	 -0.45527
	 0.72941	 -0.52877	 0.94722	 0.03673	 -0.45530
	 0.72809	 -0.48852	 0.94216	 0.10355	 -0.46753
	 0.72613	 -0.63904	 0.94721	 0.10288	 -0.40594
	 0.72962	 -0.52976	 0.98307	 0.40260	 -0.51030
	 0.72809	 -0.47687	 0.94605	 0.10768	 -0.47950
	 0.72811	 -0.52976	 0.98423	 0.39815	 -0.50923
	 0.72716	 -0.50868	 0.94652	 0.65696	 -0.47108
	 0.72811	 -0.51591	 0.94059	 0.10288	 -0.45152
	 0.72780	 -0.53010	 0.95498	 0.38547	 -0.46860
	 0.72716	 -0.52976	 0.94472	 0.39935	 -0.45450
	 0.72825	 -0.51937	 0.94117	 0.59641	 -0.45847
	 0.73235	 -0.48505	 0.94721	 0.03740	 -0.48158
	 0.72716	 -0.50868	 0.94653	 0.64990	 -0.47098
	 0.74260	 -0.50625	 0.94723	 0.18249	 -0.48578
	 0.72811	 -0.53172	 0.95289	 0.07327	 -0.46147
	 0.72811	 -0.51495	 0.94744	 0.33475	 -0.46528
	 0.72079	 -0.50834	 0.97674	 0.66437	 -0.50137
	 0.72743	 -0.51690	 0.94728	 0.34752	 -0.46370
	 0.72809	 -0.51450	 0.94721	 0.74933	 -0.47106
	 0.71954	 -0.43890	 0.93220	 0.00310	 -0.46221
	 0.72815	 -0.50874	 0.98745	 0.65696	 -0.52602
	 0.72711	 -0.52971	 0.95539	 0.39815	 -0.46886
	 0.73464	 -0.52976	 0.94963	 0.37277	 -0.46756
	 0.72549	 -0.50550	 0.93614	 0.39935	 -0.45366
	 0.72743	 -0.51690	 0.95231	 0.12813	 -0.46789
	 0.72536	 -0.51591	 0.94700	 0.33875	 -0.46205
	 0.72541	 -0.51541	 0.95203	 0.11936	 -0.46611
	 0.65926	 -0.50249	 0.94721	 0.09464	 -0.20672
	 0.72011	 -0.52771	 0.98405	 0.58829	 -0.49907
	 0.72811	 -0.50856	 0.98263	 0.59149	 -0.51931
	 0.72811	 -0.37596	 0.98151	 0.33011	 -0.51877
	 0.68467	 -0.51490	 0.95064	 0.60891	 -0.25361
	 0.71031	 -0.50834	 0.97674	 0.66437	 -0.41373
	 0.71984	 -0.52976	 0.98307	 0.40260	 -0.49553
	 0.73363	 -0.52976	 0.98307	 0.59149	 -0.51871
	 0.72895	 -0.53405	 0.98307	 0.40260	 -0.50686
	 0.72549	 -0.38175	 0.93792	 0.39935	 -0.46435
	 0.73464	 -0.52976	 0.94963	 0.27142	 -0.46653
	 0.72745	 -0.50887	 0.95250	 0.16944	 -0.47271
	 0.72079	 -0.51558	 0.97629	 0.62453	 -0.49709
	 0.72811	 -0.52976	 0.98307	 0.59149	 -0.50863
	 0.72811	 -0.54306	 0.98307	 0.40260	 -0.50080
	 0.74282	 -0.51609	 0.94708	 0.42106	 0.00000
	 0.72005	 -0.64758	 0.97674	 0.63304	 -0.44020
	 0.72752	 -0.54136	 0.94973	 0.37277	 -0.45561
	 0.73710	 -0.53194	 0.94594	 0.10768	 -0.46042
	 0.72780	 -0.52976	 0.98495	 0.39815	 -0.50968
	 0.72811	 -0.46610	 0.95425	 0.38574	 -0.50119
	 0.73722	 -0.47715	 0.98127	 0.00119	 -0.55229
	 0.72792	 -0.53767	 0.94902	 0.59691	 -0.45966
	 0.72809	 -0.57968	 0.94721	 0.74933	 -0.43977
	 0.72962	 -0.52976	 0.98307	 0.40260	 -0.51030
	 0.72738	 -0.44302	 0.94709	 0.39935	 -0.50267
	 0.74260	 -0.57932	 0.94723	 0.18249	 -0.44309
	 0.72716	 -0.52905	 0.94652	 0.66453	 -0.46112
	 0.72011	 -0.50834	 0.98045	 0.56231	 -0.50396
	 0.74358	 -0.50834	 0.94850	 0.68361	 0.00000
	 0.72795	 -0.51450	 0.97546	 0.78234	 -0.50761
	 0.72811	 -0.48852	 0.94373	 0.11910	 -0.47015
	 0.72809	 -0.52976	 0.97650	 0.57615	 -0.49981
	 0.72811	 -0.61764	 0.98307	 0.40260	 -0.46487
	 0.72895	 -0.53405	 0.98307	 0.40260	 -0.50686
	 0.72811	 -0.52976	 0.98307	 0.62588	 -0.50880
	 0.72795	 -0.51450	 0.97546	 0.78234	 -0.50761
	 0.72691	 -0.54661	 0.98127	 0.58893	 -0.49582
	 0.73841	 -0.46030	 0.98263	 0.00775	 -0.56371
	 0.72100	 -0.52992	 0.98907	 0.41816	 -0.50418
	 0.71918	 -0.51542	 0.97629	 0.60451	 -0.49508
	 0.73352	 -0.50874	 0.98756	 0.65696	 -0.53761
	 0.72826	 -0.52976	 0.98296	 0.59149	 -0.50873
	 0.72813	 -0.52976	 0.98307	 0.41161	 -0.50776
	 0.72959	 -0.52976	 0.98307	 0.58484	 -0.51113
	 0.72805	 -0.72318	 0.97674	 0.39402	 -0.41321
	 0.71219	 -0.54306	 0.96881	 0.67295	 -0.44817
	 0.72962	 -0.52976	 0.98307	 0.40260	 -0.51030
	 0.72809	 -0.52976	 0.97650	 0.76894	 -0.50107
	 0.72738	 -0.44302	 0.94709	 0.39935	 -0.50267
	 0.71154	 -0.52976	 0.98307	 0.64622	 -0.44414
	 0.72011	 -0.50834	 0.97659	 0.56231	 -0.49954
	 0.72079	 -0.50834	 0.98060	 0.66437	 -0.50575
	 0.72811	 -0.54890	 0.98307	 0.59149	 -0.49875
	 0.72809	 -0.52976	 0.97650	 0.53273	 -0.49953
	 0.72746	 -0.52497	 0.98307	 0.59149	 -0.51006
	 0.72620	 -0.46655	 0.97324	 0.00071	 -0.52139
	 0.72795	 -0.51487	 0.97919	 0.77823	 -0.51219
	 0.70751	 -0.50798	 0.97674	 0.65944	 -0.38980
	 0.74283	 -0.51609	 0.94708	 0.42106	 -0.48128
	 0.72811	 -0.54306	 0.96926	 0.40260	 -0.48213
	 0.72811	 -0.50856	 0.98267	 0.59149	 -0.51936
	 0.72962	 -0.52976	 0.98304	 0.40260	 -0.51025
	 0.72811	 -0.52976	 0.98423	 0.39815	 -0.50923
	 0.72815	 -0.50874	 0.98745	 0.65696	 -0.52602
	 0.72554	 -0.48173	 0.97866	 0.03825	 -0.52012
	 0.72811	 -0.36358	 0.96086	 0.32980	 -0.49234
	 0.72811	 -0.70934	 0.98158	 0.58446	 -0.42517
	 0.72807	 -0.46610	 0.96020	 0.39278	 -0.50976
	 0.72812	 -0.52919	 0.99174	 0.65810	 -0.52060
	 0.72715	 -0.50925	 0.94514	 0.40458	 -0.46513
	 0.72011	 -0.52771	 0.98405	 0.58829	 -0.49907
	 0.70716	 -0.37596	 0.98151	 0.33011	 -0.28805
	 0.72780	 -0.52976	 0.98495	 0.39815	 -0.50968
	 0.72815	 -0.50874	 0.97623	 0.65696	 -0.51116
	 0.72811	 -0.52921	 0.95643	 0.65871	 -0.47444
	 0.73657	 -0.52975	 0.99159	 0.62527	 -0.53833
	 0.69085	 -0.45803	 0.98972	 0.57598	 -0.27358
	 0.73841	 -0.53204	 0.98256	 0.02824	 -0.52495
	 0.72811	 -0.46610	 0.96020	 0.20421	 -0.50774
	 0.72807	 -0.50856	 0.98263	 0.59149	 -0.51925
	 0.73363	 -0.52976	 0.98899	 0.59149	 -0.52748
	 0.70117	 -0.46655	 0.97324	 0.01746	 -0.32666
	 0.73352	 -0.56345	 0.98756	 0.39805	 -0.50566
	 0.72962	 -0.50898	 0.99070	 0.66151	 -0.53328
	 0.72815	 -0.50855	 0.98750	 0.59110	 -0.52590
	 0.72811	 -0.50874	 0.98259	 0.65736	 -0.51950
	 0.72815	 -0.50874	 0.98745	 0.65696	 -0.52602
	 0.73888	 -0.52976	 0.98307	 0.61749	 -0.53001
	 0.72962	 -0.52165	 0.98307	 0.40260	 -0.51467
	 0.72795	 -0.51487	 0.97919	 0.77823	 -0.51219
	 0.72840	 -0.52976	 0.98423	 0.39815	 -0.50973
	 0.72933	 -0.52976	 0.98307	 0.40260	 -0.50979
	 0.72740	 -0.46504	 0.98339	 0.59149	 -0.54295
	 0.72813	 -0.52603	 0.95988	 0.39278	 -0.47778
	 0.72811	 -0.52976	 0.98307	 0.59149	 -0.50863
	 0.73722	 -0.47715	 0.98127	 0.00085	 -0.55229
	 0.72813	 -0.52976	 0.98265	 0.59445	 -0.50812
	 0.72959	 -0.52976	 0.98302	 0.39640	 -0.51015
	 0.72826	 -0.53761	 0.98296	 0.59149	 -0.50463
	 0.72811	 -0.50856	 0.98267	 0.59358	 -0.51938
	 0.72813	 -0.52976	 0.98307	 0.41161	 -0.50776
	 0.72823	 -0.48173	 0.97866	 0.03825	 -0.52541
	 0.72789	 -0.52976	 0.98747	 0.58484	 -0.51401
	 0.72986	 -0.50874	 0.98306	 0.71380	 -0.52369
	 0.70980	 -0.53395	 0.96422	 0.00119	 -0.43707
	 0.72811	 -0.47296	 0.98307	 0.58713	 -0.53953
	 0.72420	 -0.52976	 0.98463	 0.59149	 -0.50445
	 0.72896	 -0.52976	 0.98307	 0.30528	 -0.50867
	 0.73326	 -0.37596	 0.98320	 0.33011	 -0.58141
	 0.72837	 -0.50874	 0.98756	 0.65696	 -0.52659
	 0.72811	 -0.37596	 0.97294	 0.33011	 -0.51105
	 0.73841	 -0.46030	 0.98263	 0.00684	 -0.56371
	 0.72557	 -0.52976	 0.98709	 0.01898	 -0.50706
	 0.73369	 -0.49910	 0.97903	 0.61962	 -0.53073
	 0.72813	 -0.52976	 0.98307	 0.59115	 -0.50867
	 0.73495	 -0.50855	 0.98750	 0.59145	 -0.54071
	 0.73326	 -0.37596	 0.98320	 0.33011	 -0.58141
	 0.73722	 -0.47715	 0.98127	 0.00068	 -0.55229
	 0.70901	 -0.50874	 0.98748	 0.65696	 -0.39632
	 0.73657	 -0.52975	 0.99168	 0.67508	 -0.53857
	 0.72815	 -0.50874	 0.98743	 0.58891	 -0.52571
	 0.72740	 -0.46504	 0.98341	 0.65954	 -0.54334
	 0.73841	 -0.53204	 0.98256	 0.02802	 -0.52494
	 0.73841	 -0.46030	 0.98263	 0.02677	 -0.56375
	 0.73841	 -0.46030	 0.98263	 0.00775	 -0.56371
	 0.72815	 -0.50855	 0.98750	 0.53249	 -0.52566
	 0.72812	 -0.52919	 0.99209	 0.65810	 -0.52105
	 0.72815	 -0.50874	 0.98710	 0.65696	 -0.52556
