l_s	l_l	R	theta	
	 0.59447	 0.50050	 0.02989	 -0.47663
	 0.59186	 0.53693	 0.02995	 -0.47652
	 0.59130	 0.50114	 0.02995	 -0.47630
	 0.59185	 0.49139	 0.02995	 -0.47646
	 0.58324	 0.50890	 0.02991	 -0.47345
	 0.59126	 0.49974	 0.02989	 -0.47564
	 0.59450	 0.50070	 0.02991	 -0.47690
	 0.59185	 0.56879	 0.02989	 -0.47584
	 0.59212	 0.49497	 0.02995	 -0.47660
	 0.59185	 0.49666	 0.02995	 -0.47647
	 0.59283	 0.52355	 0.02995	 -0.47676
	 0.59130	 0.50359	 0.02992	 -0.47596
	 0.59130	 0.49984	 0.02992	 -0.47596
	 0.59186	 0.56698	 0.02995	 -0.47652
	 0.59409	 0.47228	 0.02993	 -0.47699
	 0.59060	 0.49923	 0.02989	 -0.47542
	 0.59516	 0.51929	 0.02984	 -0.46992
	 0.59186	 0.56698	 0.03000	 -0.47699
	 0.59409	 0.49815	 0.02983	 -0.47588
	 0.59186	 0.54362	 0.02995	 -0.47648
	 0.59220	 0.49668	 0.02676	 -0.43327
	 0.59130	 0.51760	 0.02991	 -0.47593
	 0.59130	 0.51237	 0.02688	 -0.43453
	 0.59194	 0.56698	 0.03000	 -0.47704
	 0.59121	 0.51727	 0.03000	 -0.47677
	 0.59186	 0.56698	 0.02868	 -0.45611
	 0.59212	 0.49497	 0.03000	 -0.47707
	 0.59447	 0.49984	 0.02984	 -0.47604
	 0.59451	 0.50070	 0.02991	 -0.47690
	 0.59185	 0.58672	 0.03000	 -0.47699
	 0.52180	 0.47795	 0.02993	 -0.46994
	 0.59186	 0.53913	 0.02893	 -0.45888
	 0.59186	 0.56698	 0.03000	 -0.47699
	 0.59409	 0.47228	 0.02993	 -0.47699
	 0.59185	 0.54088	 0.02995	 -0.47646
	 0.56738	 0.56698	 0.03000	 -0.47536
	 0.59130	 0.50114	 0.02995	 -0.47630
	 0.59186	 0.55993	 0.03000	 -0.47699
	 0.59186	 0.57361	 0.03000	 -0.47701
	 0.59186	 0.57405	 0.03000	 -0.47699
	 0.59186	 0.56654	 0.02995	 -0.47653
	 0.59447	 0.47746	 0.02989	 -0.47662
	 0.59447	 0.49984	 0.02984	 -0.47604
	 0.59187	 0.49599	 0.02965	 -0.47322
	 0.59219	 0.56768	 0.02995	 -0.47662
	 0.56901	 0.56698	 0.02995	 -0.47540
	 0.59186	 0.49984	 0.02995	 -0.47652
	 0.59186	 0.56698	 0.03000	 -0.47699
	 0.59447	 0.49984	 0.02589	 -0.41685
	 0.59447	 0.50050	 0.02996	 -0.47740
	 0.59185	 0.49666	 0.02995	 -0.47647
	 0.59283	 0.52355	 0.02995	 -0.47676
	 0.59447	 0.50050	 0.02989	 -0.47663
	 0.59297	 0.53724	 0.02995	 -0.47686
	 0.59171	 0.52324	 0.02995	 -0.47641
	 0.59186	 0.54362	 0.02995	 -0.47648
	 0.59186	 0.56698	 0.03000	 -0.47700
	 0.56694	 0.56698	 0.03000	 -0.47520
	 0.59186	 0.56698	 0.03000	 -0.47699
	 0.59504	 0.56698	 0.03000	 -0.47796
	 0.59409	 0.47228	 0.02993	 -0.47699
	 0.59186	 0.56698	 0.03000	 -0.47699
	 0.59186	 0.55882	 0.02972	 -0.47395
	 0.59409	 0.47228	 0.02993	 -0.47699
	 0.59186	 0.59147	 0.03000	 -0.47699
	 0.59186	 0.56698	 0.03000	 -0.47699
	 0.59186	 0.57405	 0.03000	 -0.47699
	 0.57760	 0.49497	 0.03000	 -0.47255
	 0.59476	 0.57361	 0.03000	 -0.47790
	 0.59186	 0.57361	 0.03000	 -0.47701
	 0.59186	 0.53905	 0.03000	 -0.47699
	 0.59186	 0.56698	 0.03000	 -0.47699
	 0.59186	 0.56698	 0.03000	 -0.47699
	 0.59931	 0.55993	 0.03000	 -0.47290
	 0.54215	 0.49497	 0.02929	 -0.46002
	 0.55914	 0.57202	 0.03000	 -0.47258
	 0.59185	 0.55941	 0.03000	 -0.47699
	 0.59131	 0.49557	 0.02991	 -0.47593
	 0.59441	 0.51727	 0.03000	 -0.47775
