xs-	ys-	xs+	ys+	T_f	theta	power	
	 0.65119	 -0.63764	 0.82350	 0.15326	 352.52608	 -0.01676 	 5.38767
	 0.59165	 -0.77233	 0.83162	 0.81976	 364.01163	 0.00000 	 0.00000
	 0.74209	 -0.38051	 0.89149	 0.19507	 379.83048	 -0.10354 	 7.68712
	 0.74209	 -0.38051	 0.89736	 0.16048	 379.83048	 -0.10469 	 7.97322
	 0.61827	 -0.61224	 0.77755	 0.05873	 380.16507	 -0.04143 	 7.89510
	 0.68202	 -0.56522	 0.97817	 0.03993	 335.93632	 0.00000 	 5.97075
	 0.67015	 -0.17718	 0.90012	 0.06412	 344.99581	 -0.00264 	 5.92555
	 0.43202	 -0.00027	 0.84633	 0.09891	 383.68139	 0.00960 	 9.82633
	 0.65827	 -0.35144	 0.79514	 0.29013	 396.88324	 0.00000 	 0.00000
	 0.70449	 -0.83600	 0.88444	 0.10549	 361.70393	 -0.05321 	 7.07826
	 0.66463	 -0.57129	 0.84756	 0.09011	 403.14097	 -0.28407 	 13.63856
	 0.43523	 -0.03481	 0.88629	 0.06727	 320.11480	 0.00000 	 0.00000
	 0.72767	 -0.57936	 0.87306	 0.19507	 395.58996	 -0.20317 	 9.98780
	 0.65827	 -0.39907	 0.89287	 0.76031	 379.87898	 -0.08602 	 11.63395
	 0.43704	 -0.81722	 0.77965	 0.44692	 403.14097	 0.00918 	 9.42187
	 0.64109	 -0.57256	 0.84743	 0.01461	 311.90934	 0.00000 	 1.11604
	 0.59274	 -0.80858	 0.83313	 0.80252	 356.11315	 -0.00226 	 8.10435
	 0.65597	 -0.35144	 0.79363	 0.29013	 396.88324	 0.00000 	 0.00000
	 0.71351	 -0.15384	 0.81757	 0.03956	 383.68694	 -0.04585 	 5.35281
	 0.40230	 -0.55520	 0.87300	 0.56943	 374.00239	 0.00000 	 0.00000
	 0.65757	 -0.05129	 0.91614	 0.10347	 344.99581	 0.00000 	 0.00000
	 0.65827	 -0.37306	 0.89287	 0.09468	 395.63846	 -0.24522 	 15.20542
	 0.72679	 -0.81940	 0.81782	 0.03956	 385.20687	 -0.12884 	 5.93101
	 0.41809	 -0.80381	 0.84731	 0.08902	 403.62554	 -0.30068 	 26.50428
	 0.45662	 -0.13984	 0.84863	 0.09011	 403.27497	 0.00000 	 0.00000
	 0.68886	 -0.57655	 0.81650	 0.03956	 385.58161	 -0.13294 	 7.36669
	 0.65585	 -0.39907	 0.89138	 0.74288	 390.30933	 -0.14423 	 13.55665
	 0.65140	 -0.39907	 0.89287	 0.80129	 395.63846	 -0.17950 	 14.92181
	 0.43704	 -0.58618	 0.84756	 0.63191	 388.12880	 0.00930 	 10.80311
	 0.40751	 -0.80525	 0.87300	 0.47024	 403.07334	 -0.27712 	 27.92176
	 0.65828	 -0.34962	 0.89038	 0.29013	 396.88324	 -0.22946 	 14.97367
	 0.62133	 -0.42005	 0.79763	 0.02769	 395.63846	 -0.11546 	 10.67279
	 0.65265	 -0.03638	 0.83546	 0.34456	 344.99581	 0.00355 	 4.71419
	 0.73319	 -0.41305	 0.89287	 0.02769	 395.63846	 -0.18559 	 10.34870
	 0.70449	 -0.81446	 0.78670	 0.30105	 361.79719	 -0.03118 	 3.38782
	 0.74209	 -0.57936	 0.87306	 0.19507	 379.73722	 -0.11853 	 7.16644
	 0.64109	 -0.57899	 0.81762	 0.02807	 337.26604	 -0.00000 	 3.73029
	 0.70319	 -0.80361	 0.77948	 0.04849	 389.91186	 -0.12063 	 4.99008
	 0.65827	 -0.37306	 0.89287	 0.09457	 395.63846	 -0.24523 	 15.20554
	 0.59165	 -0.76825	 0.83162	 0.80252	 364.01163	 0.00000 	 0.00000
	 0.45338	 -0.26448	 0.78041	 0.78266	 303.99326	 0.00000 	 0.17016
	 0.41070	 -0.80917	 0.84756	 0.08902	 404.34111	 -0.29816 	 26.79351
	 0.70274	 -0.80361	 0.81730	 0.03956	 386.88780	 -0.15037 	 7.28226
	 0.71395	 -0.80361	 0.81757	 0.04849	 385.67317	 -0.13899 	 6.58961
	 0.65585	 -0.39907	 0.89287	 0.80133	 396.07819	 -0.18539 	 14.77158
	 0.59165	 -0.78604	 0.83162	 0.80252	 365.47211	 0.00000 	 0.00000
	 0.45338	 -0.41386	 0.93188	 0.78688	 303.19743	 0.00000 	 0.01395
	 0.43202	 -0.16977	 0.84633	 0.09837	 398.95971	 0.00000 	 0.00000
	 0.71291	 -0.78037	 0.91722	 0.62493	 361.94040	 -0.05712 	 8.01585
	 0.65625	 -0.57274	 0.83878	 0.81132	 383.87987	 -0.03446 	 9.55706
	 0.70274	 -0.80361	 0.81754	 0.08930	 386.13440	 -0.14638 	 7.19512
	 0.46195	 -0.56254	 0.84731	 0.04038	 403.89437	 -0.33497 	 25.64165
	 0.65229	 -0.79993	 0.77952	 0.02983	 312.75865	 0.00000 	 0.77557
	 0.70449	 -0.58861	 0.78670	 0.30105	 360.85563	 -0.02060 	 3.16958
	 0.72140	 -0.31392	 0.79053	 0.61360	 305.39586	 0.00000 	 0.00000
	 0.70449	 -0.79628	 0.78658	 0.30105	 361.79719	 -0.03055 	 3.36904
	 0.70274	 -0.80361	 0.81730	 0.03956	 386.88780	 -0.15037 	 7.28226
	 0.66463	 -0.57129	 0.84756	 0.09011	 403.14097	 -0.28407 	 13.63856
	 0.62972	 -0.57899	 0.77640	 0.02807	 309.69842	 -0.00000 	 0.59802
	 0.44339	 -0.81961	 0.85068	 0.08902	 405.06944	 -0.28408 	 24.70252
	 0.41361	 -0.80250	 0.84446	 0.02807	 335.44382	 0.00000 	 8.58264
	 0.64558	 -0.58030	 0.78237	 0.09209	 404.78415	 -0.11114 	 9.23632
	 0.59342	 -0.15877	 0.78670	 0.61449	 307.80543	 0.00000 	 0.55612
	 0.71749	 -0.70016	 0.83162	 0.80252	 363.48692	 -0.04560 	 4.76913
	 0.45338	 -0.81124	 0.78689	 0.29964	 305.81336	 0.00000 	 0.55159
	 0.69868	 -0.41707	 0.78023	 0.79120	 360.06306	 0.00985 	 2.62111
	 0.67646	 -0.58036	 0.84945	 0.02893	 335.46978	 -0.00000 	 3.45920
	 0.41336	 -0.80244	 0.77738	 0.08816	 403.80846	 -0.02518 	 23.54466
	 0.71330	 -0.80361	 0.81803	 0.03956	 385.69144	 -0.13973 	 6.65315
	 0.40751	 -0.58063	 0.87255	 0.63483	 388.06118	 0.00000 	 0.00000
	 0.71395	 -0.77399	 0.81782	 0.04849	 385.20952	 -0.13649 	 6.50490
	 0.72679	 -0.81940	 0.81758	 0.03956	 385.67053	 -0.13046 	 5.96035
	 0.39852	 -0.55633	 0.83162	 0.57912	 374.08278	 0.00973 	 11.92990
	 0.59546	 -0.77120	 0.87300	 0.79283	 370.10312	 -0.07416 	 12.07071
	 0.70461	 -0.03731	 0.85305	 0.41347	 320.12160	 0.00000 	 1.54813
	 0.70579	 -0.01551	 0.85305	 0.41347	 320.12160	 0.00000 	 1.53541
	 0.46945	 -0.16508	 0.87320	 0.09837	 398.97326	 -0.05478 	 24.65578
	 0.72576	 -0.57746	 0.84295	 0.19507	 395.57641	 -0.18486 	 8.13751
	 0.66463	 -0.57129	 0.77828	 0.79559	 403.14097	 0.00948 	 3.45859
	 0.45338	 -0.41386	 0.84968	 0.08438	 304.07941	 -0.00000 	 0.22628
	 0.70459	 -0.03731	 0.85305	 0.41347	 320.12160	 -0.00000 	 1.54832
	 0.70069	 -0.80361	 0.81448	 0.04849	 386.86953	 -0.14909 	 7.20246
	 0.72942	 -0.27538	 0.87409	 0.19507	 396.84575	 -0.14321 	 9.09988
	 0.65652	 -0.54329	 0.79411	 0.29013	 390.54335	 -0.03088 	 7.80715
	 0.71395	 -0.81969	 0.81757	 0.03962	 385.67317	 -0.13925 	 6.61794
	 0.72679	 -0.80332	 0.81782	 0.04844	 385.20687	 -0.12891 	 5.90635
	 0.43092	 -0.15773	 0.78703	 0.10412	 307.48170	 0.00000 	 0.94639
	 0.72022	 -0.16977	 0.84601	 0.81494	 399.48812	 0.00000 	 0.00000
	 0.70319	 -0.54051	 0.77626	 0.04849	 389.91186	 -0.08853 	 4.38801
	 0.43202	 -0.82563	 0.85078	 0.09011	 403.14097	 -0.28494 	 25.30376
	 0.71609	 -0.80272	 0.78658	 0.30105	 361.79719	 -0.03267 	 3.00479
	 0.70459	 -0.03300	 0.85305	 0.41347	 320.12160	 0.00000 	 1.54826
	 0.46195	 -0.56254	 0.83642	 0.04038	 403.89437	 -0.38304 	 26.88194
	 0.45798	 -0.41386	 0.78041	 0.78979	 303.33517	 0.00000 	 0.03697
	 0.45338	 -0.41386	 0.84969	 0.06892	 405.42381	 -0.35875 	 27.78666
	 0.44339	 -0.81961	 0.85067	 0.08722	 304.71609	 0.00000 	 0.39378
	 0.68550	 -0.81301	 0.81758	 0.03956	 323.37948	 0.00000 	 1.68561
	 0.72663	 -0.06665	 0.85305	 0.41347	 382.41276	 0.00000 	 0.00000
	 0.70350	 -0.80911	 0.86120	 0.19243	 395.44378	 -0.22032 	 11.30383
	 0.72736	 -0.57386	 0.77948	 0.05114	 390.05805	 -0.10591 	 3.49329
	 0.64109	 -0.57872	 0.77952	 0.02921	 336.61583	 -0.00000 	 2.88771
	 0.45338	 -0.41413	 0.84968	 0.08325	 304.07941	 0.00000 	 0.22628
	 0.43820	 -0.82554	 0.85078	 0.09011	 403.14097	 -0.28398 	 24.96069
	 0.69450	 -0.80370	 0.81448	 0.04849	 386.86953	 -0.15170 	 7.51920
	 0.67050	 -0.57129	 0.84756	 0.09011	 403.14097	 -0.27899 	 13.22173
	 0.43202	 -0.81961	 0.84756	 0.08902	 403.14097	 -0.29607 	 25.61260
	 0.59165	 -0.77233	 0.83162	 0.80252	 372.18362	 0.00000 	 0.00000
	 0.66463	 -0.55048	 0.84756	 0.09011	 403.14097	 -0.28262 	 13.57440
	 0.44339	 -0.82272	 0.84603	 0.08902	 405.06944	 -0.30579 	 25.31802
	 0.72022	 -0.16655	 0.85065	 0.85416	 391.51602	 0.00000 	 0.00000
	 0.70490	 -0.81690	 0.78670	 0.29217	 399.65642	 -0.15211 	 6.07326
	 0.71981	 -0.16726	 0.84601	 0.82378	 361.62889	 0.00000 	 0.00000
	 0.70069	 -0.85601	 0.81437	 0.04849	 402.55746	 -0.21213 	 9.01037
	 0.43202	 -0.55262	 0.84767	 0.08725	 387.45304	 -0.19095 	 23.09744
	 0.71330	 -0.54406	 0.77599	 0.03969	 385.69144	 -0.08278 	 3.66142
	 0.70319	 -0.80006	 0.81830	 0.04837	 388.45168	 -0.15818 	 7.49569
	 0.72767	 -0.81617	 0.87306	 0.17301	 395.58996	 -0.20480 	 10.57150
	 0.70449	 -0.57765	 0.78476	 0.30105	 361.79719	 -0.01965 	 3.14681
	 0.72576	 -0.57746	 0.84295	 0.19507	 395.57641	 -0.18486 	 8.13751
	 0.66463	 -0.57129	 0.84756	 0.09011	 403.14097	 -0.28407 	 13.63856
	 0.67594	 -0.80361	 0.77948	 0.75753	 389.91186	 0.00956 	 3.34686
