Test : Start of hold value,50,MPa,,,
,,,,,
Time,Extension,Load,Temperature: Chamber 3119-600 1 1,Tensile strain (Extension),Tensile stress
(s),(mm),(N),(C),(mm/mm),(MPa)
27.1,7.30789,4.93367,55.60351,0.00634,43.27432
27.2,7.31034,4.95922,55.60351,0.00636,43.49845
27.3,7.31265,4.98318,55.60351,0.00638,43.70862
27.4,7.31547,5.01071,55.60517,0.00641,43.95007
27.5,7.3179,5.03302,55.60517,0.00643,44.14576
27.6,7.32016,5.04738,55.60517,0.00646,44.27169
27.7,7.32298,5.07052,55.60517,0.00648,44.47467
27.8,7.32562,5.0786,55.60517,0.00651,44.54555
27.9,7.32775,5.09658,55.60517,0.00653,44.70325
28,7.33036,5.11709,55.611,0.00655,44.88315
28.1,7.33319,5.13157,55.611,0.00658,45.01011
28.2,7.33518,5.15267,55.611,0.0066,45.19523
28.3,7.33773,5.164,55.611,0.00662,45.29457
28.4,7.34062,5.1911,55.611,0.00665,45.53233
28.5,7.34273,5.21167,55.611,0.00667,45.71269
28.6,7.34505,5.23544,55.6214,0.00669,45.92121
28.7,7.34801,5.25805,55.6214,0.00672,46.11955
28.8,7.35045,5.27404,55.6214,0.00674,46.2598
28.9,7.35253,5.28287,55.6214,0.00676,46.33724
29,7.35529,5.28941,55.6214,0.00678,46.39461
29.1,7.35808,5.31065,55.6214,0.00681,46.58086
29.2,7.36003,5.32285,55.62971,0.00683,46.68792
29.3,7.36269,5.34011,55.62971,0.00685,46.83932
29.4,7.36575,5.36804,55.62971,0.00688,47.08427
29.5,7.36771,5.3955,55.62971,0.0069,47.32513
29.6,7.37017,5.42418,55.62971,0.00692,47.57665
29.7,7.37334,5.45293,55.62971,0.00695,47.82884
29.8,7.37541,5.46937,55.63614,0.00697,47.97311
29.9,7.37759,5.48644,55.63614,0.00699,48.12281
30,7.38067,5.49985,55.63614,0.00702,48.24041
30.1,7.38307,5.51099,55.63614,0.00705,48.33815
30.2,7.38504,5.52138,55.63614,0.00706,48.42925
30.3,7.38789,5.53748,55.63744,0.00709,48.57049
30.4,7.39068,5.56419,55.63744,0.00712,48.80479
30.5,7.39262,5.58178,55.63744,0.00713,48.95901
30.6,7.39522,5.61467,55.63744,0.00716,49.24755
30.7,7.39822,5.64609,55.63744,0.00719,49.52315
30.8,7.40022,5.66161,55.63744,0.00721,49.65922
30.9,7.40256,5.68635,55.64117,0.00723,49.87622
30.983,7.40505,5.70164,55.64117,0.00725,50.01036
30.984,7.40508,5.70289,55.64117,0.00725,50.02133
31.084,7.40809,5.72487,55.64117,0.00728,50.21407
31.184,7.41022,5.73474,55.64117,0.0073,50.30065
31.284,7.41202,5.73581,55.64117,0.00732,50.31007
31.384,7.41436,5.74852,55.64117,0.00734,50.42158
31.484,7.41686,5.75757,55.64924,0.00736,50.50094
31.584,7.41908,5.78982,55.64924,0.00738,50.78382
31.684,7.42255,5.81656,55.64924,0.00742,51.01831
31.784,7.42787,5.82656,55.64924,0.00747,51.10607
31.884,7.43456,6.01718,55.64924,0.00753,52.77801
31.984,7.4416,5.9403,55.64924,0.00759,52.10366
32.084,7.44772,6.13209,55.65395,0.00765,53.78596
